IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,AREA_KM2
030220,APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,175.236
030415,APURIMAC,AYMARAES,TINTAY,142.393
030409,APURIMAC,AYMARAES,LUCRE,103.766
030214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,84.929
030206,APURIMAC,ANDAHUAYLAS,HUAYANA,95.32
030404,APURIMAC,AYMARAES,CHAPIMARCA,204.06
030405,APURIMAC,AYMARAES,COLCABAMBA,91.771
030304,APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,632.359
030406,APURIMAC,AYMARAES,COTARUSE,1735.304
030301,APURIMAC,ANTABAMBA,ANTABAMBA,602.523
030403,APURIMAC,AYMARAES,CARAYBAMBA,230.271
030303,APURIMAC,ANTABAMBA,HUAQUIRCA,350.743
030307,APURIMAC,ANTABAMBA,SABAINO,176.532
030713,APURIMAC,GRAU,VIRUNDO,114.248
030401,APURIMAC,AYMARAES,CHALHUANCA,339.028
030410,APURIMAC,AYMARAES,POCOHUANCA,87.573
030305,APURIMAC,ANTABAMBA,OROPESA,1170.603
030417,APURIMAC,AYMARAES,YANACA,104.366
030504,APURIMAC,COTABAMBAS,HAQUIRA,484.064
030705,APURIMAC,GRAU,MAMARA,62.668
030711,APURIMAC,GRAU,TURPAY,50.97
030709,APURIMAC,GRAU,SAN ANTONIO,25.354
030707,APURIMAC,GRAU,PATAYPAMPA,146.412
030412,APURIMAC,AYMARAES,SAÑAYCA,365.244
030306,APURIMAC,ANTABAMBA,PACHACONAS,229.231
030413,APURIMAC,AYMARAES,SORAYA,44.385
030710,APURIMAC,GRAU,SANTA ROSA,31.042
030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,453.501
030210,APURIMAC,ANDAHUAYLAS,PAMPACHIRI,590.658
030302,APURIMAC,ANTABAMBA,EL ORO,66.604
030701,APURIMAC,GRAU,CHUQUIBAMBILLA,425.409
030414,APURIMAC,AYMARAES,TAPAIRIHUA,158.187
030402,APURIMAC,AYMARAES,CAPAYA,83.288
030712,APURIMAC,GRAU,VILCABAMBA,6.579
