IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,AREA_KM2,floods_events,coldwave_events,snowfall_events
"030220",APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,"175.236","0","0","0"
"030415",APURIMAC,AYMARAES,TINTAY,"142.393","1","5","0"
"030409",APURIMAC,AYMARAES,LUCRE,"103.766","1","10","3"
"030214",APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,"84.929","1","12","4"
"030206",APURIMAC,ANDAHUAYLAS,HUAYANA,"95.320","0","14","3"
"030404",APURIMAC,AYMARAES,CHAPIMARCA,"204.060","1","10","2"
"030405",APURIMAC,AYMARAES,COLCABAMBA,"91.771","0","7","1"
"030304",APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,"632.359","0","14","6"
"030406",APURIMAC,AYMARAES,COTARUSE,"1735.304","2","21","10"
"030301",APURIMAC,ANTABAMBA,ANTABAMBA,"602.523","1","15","17"
"030403",APURIMAC,AYMARAES,CARAYBAMBA,"230.271","0","17","7"
"030303",APURIMAC,ANTABAMBA,HUAQUIRCA,"350.743","1","13","7"
"030307",APURIMAC,ANTABAMBA,SABAINO,"176.532","0","17","5"
"030713",APURIMAC,GRAU,VIRUNDO,"114.248","0","14","2"
"030401",APURIMAC,AYMARAES,CHALHUANCA,"339.028","1","10","4"
"030410",APURIMAC,AYMARAES,POCOHUANCA,"87.573","0","6","0"
"030305",APURIMAC,ANTABAMBA,OROPESA,"1170.603","2","14","6"
"030417",APURIMAC,AYMARAES,YANACA,"104.366","0","4","1"
"030504",APURIMAC,COTABAMBAS,HAQUIRA,"484.064","0","14","5"
"030705",APURIMAC,GRAU,MAMARA,"62.668","2","12","4"
"030711",APURIMAC,GRAU,TURPAY,"50.970","0","13","5"
"030709",APURIMAC,GRAU,SAN ANTONIO,"25.354","0","9","2"
"030707",APURIMAC,GRAU,PATAYPAMPA,"146.412","0","10","1"
"030412",APURIMAC,AYMARAES,SAÑAYCA,"365.244","1","20","7"
"030306",APURIMAC,ANTABAMBA,PACHACONAS,"229.231","0","11","5"
"030413",APURIMAC,AYMARAES,SORAYA,"44.385","0","7","0"
"030710",APURIMAC,GRAU,SANTA ROSA,"31.042","0","6","1"
"030506",APURIMAC,COTABAMBAS,CHALLHUAHUACHO,"453.501","2","12","7"
"030210",APURIMAC,ANDAHUAYLAS,PAMPACHIRI,"590.658","0","16","7"
"030302",APURIMAC,ANTABAMBA,EL ORO,"66.604","0","8","1"
"030701",APURIMAC,GRAU,CHUQUIBAMBILLA,"425.409","13","19","3"
"030414",APURIMAC,AYMARAES,TAPAIRIHUA,"158.187","1","8","3"
"030402",APURIMAC,AYMARAES,CAPAYA,"83.288","0","11","1"
"030712",APURIMAC,GRAU,VILCABAMBA,"6.579","2","4","0"
"030706",APURIMAC,GRAU,MICAELA BASTIDAS,"104.777","0","8","1"
"030211",APURIMAC,ANDAHUAYLAS,POMACOCHA,"122.859","1","12","5"
