IDDIST,AREA_KM2,Distrito
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas"
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay"
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre"
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa"
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana"
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca"
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba"
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano"
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse"
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba"
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba"
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca"
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino"
"030713","114.248","Apurímac, Grau, distrito: Virundo"
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca"
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca"
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa"
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca"
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira"
"030705","62.668","Apurímac, Grau, distrito: Mamara"
"030711","50.970","Apurímac, Grau, distrito: Turpay"
"030709","25.354","Apurímac, Grau, distrito: San Antonio"
"030707","146.412","Apurímac, Grau, distrito: Pataypampa"
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca"
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas"
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya"
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa"
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho"
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri"
"030302","66.604","Apurímac, Antabamba, distrito: El Oro"
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla"
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua"
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya"
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba"
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas"
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha"
"030505","221.923","Apurímac, Cotabambas, distrito: Mara"
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca"
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo"
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura"
"030708","240.419","Apurímac, Grau, distrito: Progreso"
"030714","136.403","Apurímac, Grau, distrito: Curasco"
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi"
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya"
"030704","124.134","Apurímac, Grau, distrito: Huayllati"
"030102","176.850","Apurímac, Abancay, distrito: Chacoche"
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua"
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara"
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba"
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui"
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña"
"030106","525.594","Apurímac, Abancay, distrito: Lambrama"
"030703","349.620","Apurímac, Grau, distrito: Gamarra"
"030103","634.251","Apurímac, Abancay, distrito: Circa"
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo"
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray"
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi"
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas"
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca"
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara"
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo"
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama"
"030201","197.259","Apurímac, Andahuaylas, distrito: Andahuaylas"
"030209","170.665","Apurímac, Andahuaylas, distrito: Pacucha"
"030215","156.092","Apurímac, Andahuaylas, distrito: Santa María de Chicmo"
"030603","108.193","Apurímac, Chincheros, distrito: Cocharcas"
"030109","54.569","Apurímac, Abancay, distrito: Tamburco"
"030101","286.551","Apurímac, Abancay, distrito: Abancay"
"080702","267.803","Cusco, Chumbivilcas, distrito: Capacmarca"
"080703","674.067","Cusco, Chumbivilcas, distrito: Chamaca"
"081003","325.522","Cusco, Paruro, distrito: Ccapi"
"081005","361.035","Cusco, Paruro, distrito: Huanoquite"
"081006","427.279","Cusco, Paruro, distrito: Omacha"
"080704","452.194","Cusco, Chumbivilcas, distrito: Colquemarca"
"080705","746.638","Cusco, Chumbivilcas, distrito: Livitaca"
"080706","314.992","Cusco, Chumbivilcas, distrito: Llusco"
"080707","226.042","Cusco, Chumbivilcas, distrito: Quiñota"
"080503","393.761","Cusco, Canas, distrito: Kunturkanki"
"080504","171.122","Cusco, Canas, distrito: Langui"
