IDDIST,AREA_KM2,Distrito,Poblacin,Pob__Alpac
30220,175.236,"Apurmac, Andahuaylas, distrito: Jos Mara Arguedas",4081,0
30415,142.393,"Apurmac, Aymaraes, distrito: Tintay",2272,0
30409,103.766,"Apurmac, Aymaraes, distrito: Lucre",1529,3
30214,84.929,"Apurmac, Andahuaylas, distrito: San Miguel de Chaccrampa",1613,0
30206,95.32,"Apurmac, Andahuaylas, distrito: Huayana",750,0
30404,204.06,"Apurmac, Aymaraes, distrito: Chapimarca",1893,1
30405,91.771,"Apurmac, Aymaraes, distrito: Colcabamba",693,3
30304,632.359,"Apurmac, Antabamba, distrito: Juan Espinoza Medrano",1711,15862
30406,1735.304,"Apurmac, Aymaraes, distrito: Cotaruse",2570,57263
30301,602.523,"Apurmac, Antabamba, distrito: Antabamba",2776,34960
30403,230.271,"Apurmac, Aymaraes, distrito: Caraybamba",929,8507
30303,350.743,"Apurmac, Antabamba, distrito: Huaquirca",1841,8827
30307,176.532,"Apurmac, Antabamba, distrito: Sabaino",1108,4823
30713,114.248,"Apurmac, Grau, distrito: Virundo",675,7632
30401,339.028,"Apurmac, Aymaraes, distrito: Chalhuanca",4928,338
30410,87.573,"Apurmac, Aymaraes, distrito: Pocohuanca",1022,0
30305,1170.603,"Apurmac, Antabamba, distrito: Oropesa",2268,43594
30417,104.366,"Apurmac, Aymaraes, distrito: Yanaca",981,0
30504,484.064,"Apurmac, Cotabambas, distrito: Haquira",9430,5543
30705,62.668,"Apurmac, Grau, distrito: Mamara",858,492
30711,50.97,"Apurmac, Grau, distrito: Turpay",628,2382
30709,25.354,"Apurmac, Grau, distrito: San Antonio",272,3
30707,146.412,"Apurmac, Grau, distrito: Pataypampa",798,286
30412,365.244,"Apurmac, Aymaraes, distrito: Saayca",1107,6613
30306,229.231,"Apurmac, Antabamba, distrito: Pachaconas",1054,431
30413,44.385,"Apurmac, Aymaraes, distrito: Soraya",711,0
30710,31.042,"Apurmac, Grau, distrito: Santa Rosa",560,11
30506,453.501,"Apurmac, Cotabambas, distrito: Challhuahuacho",14525,1698
30210,590.658,"Apurmac, Andahuaylas, distrito: Pampachiri",2199,7977
30302,66.604,"Apurmac, Antabamba, distrito: El Oro",552,0
30701,425.409,"Apurmac, Grau, distrito: Chuquibambilla",5023,3148
30414,158.187,"Apurmac, Aymaraes, distrito: Tapairihua",1848,1
30402,83.288,"Apurmac, Aymaraes, distrito: Capaya",580,447
30712,6.579,"Apurmac, Grau, distrito: Vilcabamba",1233,0
