Código,Distrito,Población
010101,"Amazonas, Chachapoyas, distrito: Chachapoyas",32589
010102,"Amazonas, Chachapoyas, distrito: Asunción",262
010103,"Amazonas, Chachapoyas, distrito: Balsas",1136
010104,"Amazonas, Chachapoyas, distrito: Cheto",642
010105,"Amazonas, Chachapoyas, distrito: Chiliquin",585
010106,"Amazonas, Chachapoyas, distrito: Chuquibamba",1781
010107,"Amazonas, Chachapoyas, distrito: Granada",480
010108,"Amazonas, Chachapoyas, distrito: Huancas",1258
010109,"Amazonas, Chachapoyas, distrito: La Jalca",3978
010110,"Amazonas, Chachapoyas, distrito: Leimebamba",3620
010111,"Amazonas, Chachapoyas, distrito: Levanto",794
010112,"Amazonas, Chachapoyas, distrito: Magdalena",852
010113,"Amazonas, Chachapoyas, distrito: Mariscal Castilla",1367
010114,"Amazonas, Chachapoyas, distrito: Molinopampa",2176
010115,"Amazonas, Chachapoyas, distrito: Montevideo",496
010116,"Amazonas, Chachapoyas, distrito: Olleros",375
010117,"Amazonas, Chachapoyas, distrito: Quinjalca",769
010118,"Amazonas, Chachapoyas, distrito: San Francisco de Daguas",295
010119,"Amazonas, Chachapoyas, distrito: San Isidro de Maino",580
010120,"Amazonas, Chachapoyas, distrito: Soloco",1224
010121,"Amazonas, Chachapoyas, distrito: Sonche",247
010201,"Amazonas, Bagua, distrito: Bagua",27102
010202,"Amazonas, Bagua, distrito: Aramango",9765
010203,"Amazonas, Bagua, distrito: Copallin",4595
010204,"Amazonas, Bagua, distrito: El Parco",1216
010205,"Amazonas, Bagua, distrito: Imaza",25162
010206,"Amazonas, Bagua, distrito: La Peca",6260
010301,"Amazonas, Bongara, distrito: Jumbilla",1337
010302,"Amazonas, Bongara, distrito: Chisquilla",306
010303,"Amazonas, Bongara, distrito: Churuja",287
010304,"Amazonas, Bongara, distrito: Corosha",772
010305,"Amazonas, Bongara, distrito: Cuispes",669
010306,"Amazonas, Bongara, distrito: Florida",5999
010307,"Amazonas, Bongara, distrito: Jazan",7580
010308,"Amazonas, Bongara, distrito: Recta",208
010309,"Amazonas, Bongara, distrito: San Carlos",489
010310,"Amazonas, Bongara, distrito: Shipasbamba",1539
010311,"Amazonas, Bongara, distrito: Valera",874
010312,"Amazonas, Bongara, distrito: Yambrasbamba",5577
010401,"Amazonas, Condorcanqui, distrito: Nieva",18626
010402,"Amazonas, Condorcanqui, distrito: El Cenepa",9891
010403,"Amazonas, Condorcanqui, distrito: Rio Santiago",13953
010501,"Amazonas, Luya, distrito: Lamud",2227
010502,"Amazonas, Luya, distrito: Camporredondo",6473
010503,"Amazonas, Luya, distrito: Cocabamba",1881
010504,"Amazonas, Luya, distrito: Colcamar",1853
010505,"Amazonas, Luya, distrito: Conila",1840
010506,"Amazonas, Luya, distrito: Inguilpata",498
010507,"Amazonas, Luya, distrito: Longuita",839
010508,"Amazonas, Luya, distrito: Lonya Chico",842
010509,"Amazonas, Luya, distrito: Luya",3959
010510,"Amazonas, Luya, distrito: Luya Viejo",388
010511,"Amazonas, Luya, distrito: María",744
010512,"Amazonas, Luya, distrito: Ocalli",3556
010513,"Amazonas, Luya, distrito: Ocumal",3446
010514,"Amazonas, Luya, distrito: Pisuquia",4768
010515,"Amazonas, Luya, distrito: Providencia",1316
010516,"Amazonas, Luya, distrito: San Cristobal",546
010517,"Amazonas, Luya, distrito: San Francisco del Yeso",695
010518,"Amazonas, Luya, distrito: San Jerónimo",633
010519,"Amazonas, Luya, distrito: San Juan de Lopecancha",419
010520,"Amazonas, Luya, distrito: Santa Catalina",1888
010521,"Amazonas, Luya, distrito: Santo Tomas",3012
010522,"Amazonas, Luya, distrito: Tingo",1265
010523,"Amazonas, Luya, distrito: Trita",1348
010601,"Amazonas, Rodríguez de Mendoza, distrito: San Nicolás",6016
010602,"Amazonas, Rodríguez de Mendoza, distrito: Chirimoto",2498
010603,"Amazonas, Rodríguez de Mendoza, distrito: Cochamal",595
010604,"Amazonas, Rodríguez de Mendoza, distrito: Huambo",2620
010605,"Amazonas, Rodríguez de Mendoza, distrito: Limabamba",2280
010606,"Amazonas, Rodríguez de Mendoza, distrito: Longar",1631
010607,"Amazonas, Rodríguez de Mendoza, distrito: Mariscal Benavides",1506
010608,"Amazonas, Rodríguez de Mendoza, distrito: Milpuc",453
010609,"Amazonas, Rodríguez de Mendoza, distrito: Omia",8793
010610,"Amazonas, Rodríguez de Mendoza, distrito: Santa Rosa",512
010611,"Amazonas, Rodríguez de Mendoza, distrito: Totora",282
010612,"Amazonas, Rodríguez de Mendoza, distrito: Vista Alegre",2812
010701,"Amazonas, Utcubamba, distrito: Bagua Grande",50841
010702,"Amazonas, Utcubamba, distrito: Cajaruro",23089
010703,"Amazonas, Utcubamba, distrito: Cumba",7855
010704,"Amazonas, Utcubamba, distrito: El Milagro",5825
010705,"Amazonas, Utcubamba, distrito: Jamalca",6620
010706,"Amazonas, Utcubamba, distrito: Lonya Grande",10080
010707,"Amazonas, Utcubamba, distrito: Yamon",2927
020101,"Áncash, Huaraz, distrito: Huaraz",60896
020102,"Áncash, Huaraz, distrito: Cochabamba",1639
020103,"Áncash, Huaraz, distrito: Colcabamba",294
020104,"Áncash, Huaraz, distrito: Huanchay",1600
020105,"Áncash, Huaraz, distrito: Independencia",76088
020106,"Áncash, Huaraz, distrito: Jangas",4781
020107,"Áncash, Huaraz, distrito: La Libertad",1066
020108,"Áncash, Huaraz, distrito: Olleros",2351
020109,"Áncash, Huaraz, distrito: Pampas Grande",956
020110,"Áncash, Huaraz, distrito: Pariacoto",4606
020111,"Áncash, Huaraz, distrito: Pira",3321
020112,"Áncash, Huaraz, distrito: Tarica",6338
020201,"Áncash, Aija, distrito: Aija",2017
020202,"Áncash, Aija, distrito: Coris",1639
020203,"Áncash, Aija, distrito: Huacllan",364
020204,"Áncash, Aija, distrito: La Merced",1582
020205,"Áncash, Aija, distrito: Succha",714
020301,"Áncash, Antonio Raymondi, distrito: Llamellin",3288
020302,"Áncash, Antonio Raymondi, distrito: Aczo",1918
020303,"Áncash, Antonio Raymondi, distrito: Chaccho",1368
020304,"Áncash, Antonio Raymondi, distrito: Chingas",1851
020305,"Áncash, Antonio Raymondi, distrito: Mirgas",4067
020306,"Áncash, Antonio Raymondi, distrito: San Juan de Rontoy",1158
020401,"Áncash, Asunción, distrito: Chacas",4563
020402,"Áncash, Asunción, distrito: Acochaca",2815
020501,"Áncash, Bolognesi, distrito: Chiquian",4023
020502,"Áncash, Bolognesi, distrito: Abelardo Pardo Lezameta",244
020503,"Áncash, Bolognesi, distrito: Antonio Raymondi",994
020504,"Áncash, Bolognesi, distrito: Aquia",2062
020505,"Áncash, Bolognesi, distrito: Cajacay",1677
020506,"Áncash, Bolognesi, distrito: Canis",312
020507,"Áncash, Bolognesi, distrito: Colquioc",2313
020508,"Áncash, Bolognesi, distrito: Huallanca",6468
020509,"Áncash, Bolognesi, distrito: Huasta",1432
020510,"Áncash, Bolognesi, distrito: Huayllacayan",1253
020511,"Áncash, Bolognesi, distrito: La Primavera",457
020512,"Áncash, Bolognesi, distrito: Mangas",492
020513,"Áncash, Bolognesi, distrito: Pacllon",917
020514,"Áncash, Bolognesi, distrito: San Miguel de Corpanqui",495
020515,"Áncash, Bolognesi, distrito: Ticllos",658
020601,"Áncash, Carhuaz, distrito: Carhuaz",15122
020602,"Áncash, Carhuaz, distrito: Acopampa",2472
020603,"Áncash, Carhuaz, distrito: Amashca",1431
020604,"Áncash, Carhuaz, distrito: Anta",2365
020605,"Áncash, Carhuaz, distrito: Ataquero",1469
020606,"Áncash, Carhuaz, distrito: Marcara",9478
020607,"Áncash, Carhuaz, distrito: Pariahuanca",1381
020608,"Áncash, Carhuaz, distrito: San Miguel de Aco",2350
020609,"Áncash, Carhuaz, distrito: Shilla",2789
020610,"Áncash, Carhuaz, distrito: Tinco",3335
020611,"Áncash, Carhuaz, distrito: Yungar",2992
020701,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Luis",10493
020702,"Áncash, Carlos Fermín Fitzcarrald, distrito: San Nicolás",3131
020703,"Áncash, Carlos Fermín Fitzcarrald, distrito: Yauya",4093
020801,"Áncash, Casma, distrito: Casma",35765
020802,"Áncash, Casma, distrito: Buena Vista Alta",4831
020803,"Áncash, Casma, distrito: Comandante Noel",2088
020804,"Áncash, Casma, distrito: Yautan",8305
020901,"Áncash, Corongo, distrito: Corongo",1677
020902,"Áncash, Corongo, distrito: Aco",379
020903,"Áncash, Corongo, distrito: Bambas",445
020904,"Áncash, Corongo, distrito: Cusca",2678
020905,"Áncash, Corongo, distrito: La Pampa",1026
020906,"Áncash, Corongo, distrito: Yanac",634
020907,"Áncash, Corongo, distrito: Yupan",693
021001,"Áncash, Huari, distrito: Huari",9178
021002,"Áncash, Huari, distrito: Anra",1362
021003,"Áncash, Huari, distrito: Cajay",2573
021004,"Áncash, Huari, distrito: Chavin de Huantar",7971
021005,"Áncash, Huari, distrito: Huacachi",1782
021006,"Áncash, Huari, distrito: Huacchis",1427
021007,"Áncash, Huari, distrito: Huachis",3307
021008,"Áncash, Huari, distrito: Huantar",2571
021009,"Áncash, Huari, distrito: Masin",1361
021010,"Áncash, Huari, distrito: Paucas",1561
021011,"Áncash, Huari, distrito: Ponto",2642
021012,"Áncash, Huari, distrito: Rahuapampa",705
021013,"Áncash, Huari, distrito: Rapayan",1406
021014,"Áncash, Huari, distrito: San Marcos",17033
021015,"Áncash, Huari, distrito: San Pedro de Chana",2534
021016,"Áncash, Huari, distrito: Uco",1301
