IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,AREA_KM2,minmean,traveltime
"030220",APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,175.236,61.2451923076923,1.0208
"030415",APURIMAC,AYMARAES,TINTAY,142.393,141.564705882353,2.3594
"030409",APURIMAC,AYMARAES,LUCRE,103.766,71.4126984126984,1.1902
"030214",APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,84.929,100.427184466019,1.6738
"030206",APURIMAC,ANDAHUAYLAS,HUAYANA,95.320,41.5840707964602,0.6931
"030404",APURIMAC,AYMARAES,CHAPIMARCA,204.060,145.586776859504,2.4264
"030405",APURIMAC,AYMARAES,COLCABAMBA,91.771,98.4272727272727,1.6405
"030304",APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,632.359,234.788918205805,3.9131
"030406",APURIMAC,AYMARAES,COTARUSE,1735.304,171.994756911344,2.8666
"030301",APURIMAC,ANTABAMBA,ANTABAMBA,602.523,150.538461538462,2.5090
"030403",APURIMAC,AYMARAES,CARAYBAMBA,230.271,168.865942028986,2.8144
"030303",APURIMAC,ANTABAMBA,HUAQUIRCA,350.743,169.983529411765,2.8331
"030307",APURIMAC,ANTABAMBA,SABAINO,176.532,164.409090909091,2.7402
"030713",APURIMAC,GRAU,VIRUNDO,114.248,117.962962962963,1.9660
"030401",APURIMAC,AYMARAES,CHALHUANCA,339.028,133.849753694581,2.2308
"030410",APURIMAC,AYMARAES,POCOHUANCA,87.573,162.155963302752,2.7026
"030305",APURIMAC,ANTABAMBA,OROPESA,1170.603,164.651408450704,2.7442
"030417",APURIMAC,AYMARAES,YANACA,104.366,132.68992248062,2.2115
"030504",APURIMAC,COTABAMBAS,HAQUIRA,484.064,120.141135972461,2.0024
"030705",APURIMAC,GRAU,MAMARA,62.668,131.480519480519,2.1913
"030711",APURIMAC,GRAU,TURPAY,50.970,76.2,1.2700
"030709",APURIMAC,GRAU,SAN ANTONIO,25.354,71.5714285714286,1.1929
"030707",APURIMAC,GRAU,PATAYPAMPA,146.412,171.468571428571,2.8578
"030412",APURIMAC,AYMARAES,SAÑAYCA,365.244,113.303652968037,1.8884
"030306",APURIMAC,ANTABAMBA,PACHACONAS,229.231,207.162361623616,3.4527
"030413",APURIMAC,AYMARAES,SORAYA,44.385,99.3725490196078,1.6562
"030710",APURIMAC,GRAU,SANTA ROSA,31.042,46.1794871794872,0.7697
"030506",APURIMAC,COTABAMBAS,CHALLHUAHUACHO,453.501,121.922101449275,2.0320
"030210",APURIMAC,ANDAHUAYLAS,PAMPACHIRI,590.658,110.232167832168,1.8372
"030302",APURIMAC,ANTABAMBA,EL ORO,66.604,203.925925925926,3.3988
"030701",APURIMAC,GRAU,CHUQUIBAMBILLA,425.409,113.170588235294,1.8862
"030414",APURIMAC,AYMARAES,TAPAIRIHUA,158.187,154.931578947368,2.5822
"030402",APURIMAC,AYMARAES,CAPAYA,83.288,92.1111111111111,1.5352
"030712",APURIMAC,GRAU,VILCABAMBA,6.579,45.125,0.7521
"030706",APURIMAC,GRAU,MICAELA BASTIDAS,104.777,137.720930232558,2.2953
"030211",APURIMAC,ANDAHUAYLAS,POMACOCHA,122.859,71.8013698630137,1.1967
"030505",APURIMAC,COTABAMBAS,MARA,221.923,79.0674157303371,1.3178
"030217",APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,453.423,73.8236363636364,1.2304
"030407",APURIMAC,AYMARAES,IHUAYLLO,72.783,98.6179775280899,1.6436
"030408",APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,100.994,96.1544715447154,1.6026
"030708",APURIMAC,GRAU,PROGRESO,240.419,98.7647058823529,1.6461
"030714",APURIMAC,GRAU,CURASCO,136.403,114.280487804878,1.9047
"030702",APURIMAC,GRAU,CURPAHUASI,310.153,89.938829787234,1.4990
"030416",APURIMAC,AYMARAES,TORAYA,168.616,110.673170731707,1.8446
"030704",APURIMAC,GRAU,HUAYLLATI,124.134,90.2364864864865,1.5039
"030102",APURIMAC,ABANCAY,CHACOCHE,176.850,122.877358490566,2.0480
"030107",APURIMAC,ABANCAY,PICHIRHUA,373.769,112.470066518847,1.8745
"030203",APURIMAC,ANDAHUAYLAS,CHIARA,146.730,96.5909090909091,1.6098
"030501",APURIMAC,COTABAMBAS,TAMBOBAMBA,714.098,90.6854460093897,1.5114
"030503",APURIMAC,COTABAMBAS,COYLLURQUI,418.982,85.6150793650794,1.4269
"030411",APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,96.210,132.236842105263,2.2039
"030106",APURIMAC,ABANCAY,LAMBRAMA,525.594,120.436817472699,2.0073
"030703",APURIMAC,GRAU,GAMARRA,349.620,129.909307875895,2.1652
"030103",APURIMAC,ABANCAY,CIRCA,634.251,122.554390563565,2.0426
"030218",APURIMAC,ANDAHUAYLAS,TURPO,123.766,65.5266666666667,1.0921
"030205",APURIMAC,ANDAHUAYLAS,HUANCARAY,111.140,51.9166666666667,0.8653
"030212",APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,178.561,120.141509433962,2.0024
"030502",APURIMAC,COTABAMBAS,COTABAMBAS,326.959,82.2005012531328,1.3700
"030607",APURIMAC,CHINCHEROS,URANMARCA,146.864,54.1931818181818,0.9032
"030207",APURIMAC,ANDAHUAYLAS,KISHUARA,309.046,59.755376344086,0.9959
"030213",APURIMAC,ANDAHUAYLAS,SAN JERONIMO,248.614,54.8590604026846,0.9143
"030204",APURIMAC,ANDAHUAYLAS,HUANCARAMA,156.295,39.7336956521739,0.6622
"030201",APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,197.259,28.5122950819672,0.4752
"030209",APURIMAC,ANDAHUAYLAS,PACUCHA,170.665,25.1800947867299,0.4197
"030215",APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,156.092,26.5614973262032,0.4427
"030603",APURIMAC,CHINCHEROS,COCHARCAS,108.193,57.6692307692308,0.9612
"030109",APURIMAC,ABANCAY,TAMBURCO,54.569,40.0952380952381,0.6683
"030101",APURIMAC,ABANCAY,ABANCAY,286.551,47.8279883381924,0.7971
"080702",CUSCO,CHUMBIVILCAS,CAPACMARCA,267.803,84.1849529780564,1.4031
"080703",CUSCO,CHUMBIVILCAS,CHAMACA,674.067,131.309405940594,2.1885
"081003",CUSCO,PARURO,CCAPI,325.522,79.3145780051151,1.3219
"081005",CUSCO,PARURO,HUANOQUITE,361.035,52.0433789954338,0.8674
"081006",CUSCO,PARURO,OMACHA,427.279,121.309477756286,2.0218
"080704",CUSCO,CHUMBIVILCAS,COLQUEMARCA,452.194,113.535648994516,1.8923
"080705",CUSCO,CHUMBIVILCAS,LIVITACA,746.638,120.441601779755,2.0074
"080706",CUSCO,CHUMBIVILCAS,LLUSCO,314.992,129.485411140584,2.1581
"080707",CUSCO,CHUMBIVILCAS,QUIÑOTA,226.042,98.0915750915751,1.6349
"080503",CUSCO,CANAS,KUNTURKANKI,393.761,115.008368200837,1.9168
"080504",CUSCO,CANAS,LANGUI,171.122,94.7294685990338,1.5788
"080505",CUSCO,CANAS,LAYO,425.824,145.131021194605,2.4189
"080508",CUSCO,CANAS,TUPAC AMARU,115.173,65.4160583941606,1.0903
"080602",CUSCO,CANCHIS,CHECACUPE,936.927,215.098678414097,3.5850
"081201",CUSCO,QUISPICANCHI,URCOS,140.594,34.7218934911243,0.5787
"081202",CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,85.669,31.61,0.5268
"080102",CUSCO,CUSCO,CCORCA,161.581,32.1020408163265,0.5350
"080106",CUSCO,CUSCO,SANTIAGO,59.031,6.95833333333333,0.1160
"080201",CUSCO,ACOMAYO,ACOMAYO,141.300,48.2574850299401,0.8043
"080202",CUSCO,ACOMAYO,ACOPIA,71.393,56.6976744186046,0.9450
"080204",CUSCO,ACOMAYO,MOSOC LLACTA,43.871,55.4230769230769,0.9237
"080205",CUSCO,ACOMAYO,POMACANCHI,267.277,85.603125,1.4267
"080206",CUSCO,ACOMAYO,RONDOCAN,183.004,48.9155555555556,0.8153
"080207",CUSCO,ACOMAYO,SANGARARA,86.022,68.3271028037383,1.1388
"080203",CUSCO,ACOMAYO,ACOS,137.678,79.5333333333333,1.3256
"080701",CUSCO,CHUMBIVILCAS,SANTO TOMAS,1904.779,195.128919860627,3.2521
"050609",AYACUCHO,LUCANAS,LEONCIO PRADO,1110.659,196.633507853403,3.2772
"050803",AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,100.862,257.237704918033,4.2873
"050810",AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,85.031,203.884615384615,3.3981
"050801",AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,251.426,226.645901639344,3.7774
"050809",AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,28.415,235.685714285714,3.9281
"050807",AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,56.662,236.470588235294,3.9412
"050706",AYACUCHO,PARINACOCHAS,PUYUSCA,643.279,216.691421254802,3.6115
"050806",AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,793.713,257.475051975052,4.2913
"050705",AYACUCHO,PARINACOCHAS,PULLO,1563.276,269.80832016851,4.4968
"050804",AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,281.007,310.41348973607,5.1736
"050802",AYACUCHO,PAUCAR DEL SARA SARA,COLTA,248.108,233.307432432432,3.8885
"050702",AYACUCHO,PARINACOCHAS,CHUMPI,372.212,192.997797356828,3.2166
"050808",AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,117.501,277.397260273973,4.6233
"050805",AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,120.358,309.307692307692,5.1551
"050619",AYACUCHO,LUCANAS,SANCOS,1504.093,305.527212754261,5.0921
"050701",AYACUCHO,PARINACOCHAS,CORACORA,1388.399,213.602265951103,3.5600
"050707",AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,102.981,277.576,4.6263
