IDDIST,NOMBDEP,NOMBPROV,NOMBDIST,AREA_KM2,altitude_m
"030220",APURIMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,"175.236",4054.78
"030415",APURIMAC,AYMARAES,TINTAY,"142.393",3295.70
"030409",APURIMAC,AYMARAES,LUCRE,"103.766",3790.95
"030214",APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,"84.929",3454.36
"030206",APURIMAC,ANDAHUAYLAS,HUAYANA,"95.320",3682.40
"030404",APURIMAC,AYMARAES,CHAPIMARCA,"204.060",3563.53
"030405",APURIMAC,AYMARAES,COLCABAMBA,"91.771",3563.18
"030304",APURIMAC,ANTABAMBA,JUAN ESPINOZA MEDRANO,"632.359",4503.52
"030406",APURIMAC,AYMARAES,COTARUSE,"1735.304",4348.79
"030301",APURIMAC,ANTABAMBA,ANTABAMBA,"602.523",4513.72
"030403",APURIMAC,AYMARAES,CARAYBAMBA,"230.271",4266.83
"030303",APURIMAC,ANTABAMBA,HUAQUIRCA,"350.743",4319.75
"030307",APURIMAC,ANTABAMBA,SABAINO,"176.532",4010.16
"030713",APURIMAC,GRAU,VIRUNDO,"114.248",4474.88
"030401",APURIMAC,AYMARAES,CHALHUANCA,"339.028",3863.45
"030410",APURIMAC,AYMARAES,POCOHUANCA,"87.573",3694.70
"030305",APURIMAC,ANTABAMBA,OROPESA,"1170.603",4572.06
"030417",APURIMAC,AYMARAES,YANACA,"104.366",3755.71
"030504",APURIMAC,COTABAMBAS,HAQUIRA,"484.064",4074.65
"030705",APURIMAC,GRAU,MAMARA,"62.668",4033.65
"030711",APURIMAC,GRAU,TURPAY,"50.970",3845.41
"030709",APURIMAC,GRAU,SAN ANTONIO,"25.354",3790.69
"030707",APURIMAC,GRAU,PATAYPAMPA,"146.412",4341.34
"030412",APURIMAC,AYMARAES,SAÑAYCA,"365.244",4077.93
"030306",APURIMAC,ANTABAMBA,PACHACONAS,"229.231",4049.74
"030413",APURIMAC,AYMARAES,SORAYA,"44.385",3538.97
"030710",APURIMAC,GRAU,SANTA ROSA,"31.042",3629.96
"030506",APURIMAC,COTABAMBAS,CHALLHUAHUACHO,"453.501",4153.44
"030210",APURIMAC,ANDAHUAYLAS,PAMPACHIRI,"590.658",4018.60
"030302",APURIMAC,ANTABAMBA,EL ORO,"66.604",4096.71
"030701",APURIMAC,GRAU,CHUQUIBAMBILLA,"425.409",4193.66
"030414",APURIMAC,AYMARAES,TAPAIRIHUA,"158.187",3661.56
"030402",APURIMAC,AYMARAES,CAPAYA,"83.288",3829.70
"030712",APURIMAC,GRAU,VILCABAMBA,"6.579",3142.55
"030706",APURIMAC,GRAU,MICAELA BASTIDAS,"104.777",3996.10
"030211",APURIMAC,ANDAHUAYLAS,POMACOCHA,"122.859",3953.05
"030505",APURIMAC,COTABAMBAS,MARA,"221.923",3715.39
"030217",APURIMAC,ANDAHUAYLAS,TUMAY HUARACA,"453.423",4070.65
"030407",APURIMAC,AYMARAES,IHUAYLLO,"72.783",3359.25
"030408",APURIMAC,AYMARAES,JUSTO APU SAHUARAURA,"100.994",3450.66
"030708",APURIMAC,GRAU,PROGRESO,"240.419",4212.59
"030714",APURIMAC,GRAU,CURASCO,"136.403",3919.68
"030702",APURIMAC,GRAU,CURPAHUASI,"310.153",4132.15
"030416",APURIMAC,AYMARAES,TORAYA,"168.616",3727.82
"030704",APURIMAC,GRAU,HUAYLLATI,"124.134",3634.28
"030102",APURIMAC,ABANCAY,CHACOCHE,"176.850",3973.63
"030107",APURIMAC,ABANCAY,PICHIRHUA,"373.769",3341.38
"030203",APURIMAC,ANDAHUAYLAS,CHIARA,"146.730",3749.85
"030501",APURIMAC,COTABAMBAS,TAMBOBAMBA,"714.098",3920.02
"030503",APURIMAC,COTABAMBAS,COYLLURQUI,"418.982",3998.98
"030411",APURIMAC,AYMARAES,SAN JUAN DE CHACÑA,"96.210",3911.36
"030106",APURIMAC,ABANCAY,LAMBRAMA,"525.594",3762.45
"030703",APURIMAC,GRAU,GAMARRA,"349.620",3785.94
