pcode,Departament,Province,Districtis,total de benificiados 
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,5431
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,115
010103,AMAZONAS,CHACHAPOYAS,BALSAS,500
010104,AMAZONAS,CHACHAPOYAS,CHETO,251
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,254
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1020
010107,AMAZONAS,CHACHAPOYAS,GRANADA,157
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,109
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,2925
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,1374
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,280
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,344
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,300
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,885
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,191
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,136
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,561
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,51
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,244
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,1002
010121,AMAZONAS,CHACHAPOYAS,SONCHE,83
010201,AMAZONAS,BAGUA,BAGUA,5139
010202,AMAZONAS,BAGUA,ARAMANGO,7513
010203,AMAZONAS,BAGUA,COPALLIN,2185
010204,AMAZONAS,BAGUA,EL PARCO,509
010205,AMAZONAS,BAGUA,IMAZA,28785
010206,AMAZONAS,BAGUA,LA PECA,4339
010301,AMAZONAS,BONGARA,JUMBILLA,459
010302,AMAZONAS,BONGARA,CHISQUILLA,127
010303,AMAZONAS,BONGARA,CHURUJA,95
010304,AMAZONAS,BONGARA,COROSHA,429
010305,AMAZONAS,BONGARA,CUISPES,247
010306,AMAZONAS,BONGARA,FLORIDA,1877
010307,AMAZONAS,BONGARA,JAZAN,2469
010308,AMAZONAS,BONGARA,RECTA,70
010309,AMAZONAS,BONGARA,SAN CARLOS,55
010310,AMAZONAS,BONGARA,SHIPASBAMBA,654
010311,AMAZONAS,BONGARA,VALERA,249
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,2561
010401,AMAZONAS,CONDORCANQUI,NIEVA,23141
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,12107
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,15200
010501,AMAZONAS,LUYA,LAMUD,735
010502,AMAZONAS,LUYA,CAMPORREDONDO,2848
010503,AMAZONAS,LUYA,COCABAMBA,1178
010504,AMAZONAS,LUYA,COLCAMAR,990
010505,AMAZONAS,LUYA,CONILA,915
010506,AMAZONAS,LUYA,INGUILPATA,185
010507,AMAZONAS,LUYA,LONGUITA,500
010508,AMAZONAS,LUYA,LONYA CHICO,359
010509,AMAZONAS,LUYA,LUYA,1417
010510,AMAZONAS,LUYA,LUYA VIEJO,195
010511,AMAZONAS,LUYA,MARIA,309
010512,AMAZONAS,LUYA,OCALLI,1290
010513,AMAZONAS,LUYA,OCUMAL,1751
010514,AMAZONAS,LUYA,PISUQUIA,5167
010515,AMAZONAS,LUYA,PROVIDENCIA,927
010516,AMAZONAS,LUYA,SAN CRISTOBAL,1080
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,242
010518,AMAZONAS,LUYA,SAN JERONIMO,1176
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,194
010520,AMAZONAS,LUYA,SANTA CATALINA,2763
010521,AMAZONAS,LUYA,SANTO TOMAS,1681
010522,AMAZONAS,LUYA,TINGO,406
010523,AMAZONAS,LUYA,TRITA,781
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,1253
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,809
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,282
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,501
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,633
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,431
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,458
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,120
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,4981
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,230
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,53
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,1284
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,17848
010702,AMAZONAS,UTCUBAMBA,CAJARURO,16141
010703,AMAZONAS,UTCUBAMBA,CUMBA,4458
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,1724
010705,AMAZONAS,UTCUBAMBA,JAMALCA,4982
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,4408
010707,AMAZONAS,UTCUBAMBA,YAMON,1239
020101,ANCASH,HUARAZ,HUARAZ,9512
020102,ANCASH,HUARAZ,COCHABAMBA,1039
020103,ANCASH,HUARAZ,COLCABAMBA,37
020104,ANCASH,HUARAZ,HUANCHAY,737
020105,ANCASH,HUARAZ,INDEPENDENCIA,10235
020106,ANCASH,HUARAZ,JANGAS,865
020107,ANCASH,HUARAZ,LA LIBERTAD,584
020108,ANCASH,HUARAZ,OLLEROS,615
020109,ANCASH,HUARAZ,PAMPAS,285
020110,ANCASH,HUARAZ,PARIACOTO,3887
020111,ANCASH,HUARAZ,PIRA,1643
020112,ANCASH,HUARAZ,TARICA,1341
020201,ANCASH,AIJA,AIJA,712
020202,ANCASH,AIJA,CORIS,1140
020203,ANCASH,AIJA,HUACLLAN,157
020204,ANCASH,AIJA,LA MERCED,765
020205,ANCASH,AIJA,SUCCHA,281
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,1312
020302,ANCASH,ANTONIO RAYMONDI,ACZO,1023
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,984
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,1029
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,3227
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,1377
020401,ANCASH,ASUNCION,CHACAS,1245
020402,ANCASH,ASUNCION,ACOCHACA,1557
020501,ANCASH,BOLOGNESI,CHIQUIAN,878
