IDDIST,Distrito,numeros,cold_wave_exposure
"030220","Apurímac, Andahuaylas, distrito: José María Arguedas",0.000,0.000
"030415","Apurímac, Aymaraes, distrito: Tintay",0.000,0.000
"030409","Apurímac, Aymaraes, distrito: Lucre",0.000,0.000
"030214","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa",0.000,0.000
"030206","Apurímac, Andahuaylas, distrito: Huayana",0.000,0.000
"030404","Apurímac, Aymaraes, distrito: Chapimarca",0.000,0.000
"030405","Apurímac, Aymaraes, distrito: Colcabamba",0.000,0.000
"030304","Apurímac, Antabamba, distrito: Juan Espinoza Medrano",0.000,0.000
"030406","Apurímac, Aymaraes, distrito: Cotaruse",0.000,0.000
"030301","Apurímac, Antabamba, distrito: Antabamba",0.000,0.000
"030403","Apurímac, Aymaraes, distrito: Caraybamba",0.000,0.000
"030303","Apurímac, Antabamba, distrito: Huaquirca",0.000,0.000
"030307","Apurímac, Antabamba, distrito: Sabaino",0.000,0.000
"030713","Apurímac, Grau, distrito: Virundo",0.000,0.000
"030401","Apurímac, Aymaraes, distrito: Chalhuanca",0.000,0.000
"030410","Apurímac, Aymaraes, distrito: Pocohuanca",0.000,0.000
"030305","Apurímac, Antabamba, distrito: Oropesa",0.000,0.000
"030417","Apurímac, Aymaraes, distrito: Yanaca",0.000,0.000
"030504","Apurímac, Cotabambas, distrito: Haquira",0.000,0.000
"030705","Apurímac, Grau, distrito: Mamara",0.000,0.000
"030711","Apurímac, Grau, distrito: Turpay",0.000,0.000
"030709","Apurímac, Grau, distrito: San Antonio",0.000,0.000
"030707","Apurímac, Grau, distrito: Pataypampa",0.000,0.000
"030412","Apurímac, Aymaraes, distrito: Sañayca",0.000,0.000
"030306","Apurímac, Antabamba, distrito: Pachaconas",0.000,0.000
"030413","Apurímac, Aymaraes, distrito: Soraya",0.000,0.000
"030710","Apurímac, Grau, distrito: Santa Rosa",0.000,0.000
"030506","Apurímac, Cotabambas, distrito: Challhuahuacho",0.000,0.000
"030210","Apurímac, Andahuaylas, distrito: Pampachiri",0.000,0.000
"030302","Apurímac, Antabamba, distrito: El Oro",0.000,0.000
"030701","Apurímac, Grau, distrito: Chuquibambilla",0.000,0.000
"030414","Apurímac, Aymaraes, distrito: Tapairihua",0.000,0.000
"030402","Apurímac, Aymaraes, distrito: Capaya",0.000,0.000
"030712","Apurímac, Grau, distrito: Vilcabamba",0.000,0.000
"030706","Apurímac, Grau, distrito: Micaela Bastidas",0.000,0.000
"030211","Apurímac, Andahuaylas, distrito: Pomacocha",0.000,0.000
"030505","Apurímac, Cotabambas, distrito: Mara",0.000,0.000
"030217","Apurímac, Andahuaylas, distrito: Tumay Huaraca",0.000,0.000
"030407","Apurímac, Aymaraes, distrito: Ihuayllo",0.000,0.000
"030408","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura",0.000,0.000
"030708","Apurímac, Grau, distrito: Progreso",0.000,0.000
"030714","Apurímac, Grau, distrito: Curasco",0.000,0.000
"030702","Apurímac, Grau, distrito: Curpahuasi",0.000,0.000
"030416","Apurímac, Aymaraes, distrito: Toraya",0.000,0.000
"030704","Apurímac, Grau, distrito: Huayllati",0.000,0.000
"030102","Apurímac, Abancay, distrito: Chacoche",0.000,0.000
"030107","Apurímac, Abancay, distrito: Pichirhua",0.000,0.000
"030203","Apurímac, Andahuaylas, distrito: Chiara",0.000,0.000
"030501","Apurímac, Cotabambas, distrito: Tambobamba",0.000,0.000
"030503","Apurímac, Cotabambas, distrito: Coyllurqui",0.000,0.000
"030411","Apurímac, Aymaraes, distrito: San Juan de Chacña",0.000,0.000
"030106","Apurímac, Abancay, distrito: Lambrama",0.000,0.000
"030703","Apurímac, Grau, distrito: Gamarra",0.000,0.000
"030103","Apurímac, Abancay, distrito: Circa",0.000,0.000
"030218","Apurímac, Andahuaylas, distrito: Turpo",0.000,0.000
"030205","Apurímac, Andahuaylas, distrito: Huancaray",0.000,0.000
"030212","Apurímac, Andahuaylas, distrito: San Antonio de Cachi",0.000,0.000
"030502","Apurímac, Cotabambas, distrito: Cotabambas",0.000,0.000
"030607","Apurímac, Chincheros, distrito: Uranmarca",0.000,0.000
"030207","Apurímac, Andahuaylas, distrito: Kishuara",0.000,0.000
"030213","Apurímac, Andahuaylas, distrito: San Jerónimo",0.000,0.000
"030204","Apurímac, Andahuaylas, distrito: Huancarama",0.000,0.000
"030201","Apurímac, Andahuaylas, distrito: Andahuaylas",0.000,0.000
"030209","Apurímac, Andahuaylas, distrito: Pacucha",0.000,0.000
"030215","Apurímac, Andahuaylas, distrito: Santa María de Chicmo",0.000,0.000
"030603","Apurímac, Chincheros, distrito: Cocharcas",0.000,0.000
"030109","Apurímac, Abancay, distrito: Tamburco",0.000,0.000
"030101","Apurímac, Abancay, distrito: Abancay",0.000,0.000
"080702","Cusco, Chumbivilcas, distrito: Capacmarca",0.000,0.000
"080703","Cusco, Chumbivilcas, distrito: Chamaca",0.000,0.000
"081003","Cusco, Paruro, distrito: Ccapi",0.000,0.000
"081005","Cusco, Paruro, distrito: Huanoquite",0.000,0.000
"081006","Cusco, Paruro, distrito: Omacha",0.000,0.000
"080704","Cusco, Chumbivilcas, distrito: Colquemarca",0.000,0.000
"080705","Cusco, Chumbivilcas, distrito: Livitaca",0.000,0.000
"080706","Cusco, Chumbivilcas, distrito: Llusco",0.000,0.000
"080707","Cusco, Chumbivilcas, distrito: Quiñota",0.000,0.000
"080503","Cusco, Canas, distrito: Kunturkanki",0.000,0.000
"080504","Cusco, Canas, distrito: Langui",0.000,0.000
"080505","Cusco, Canas, distrito: Layo",0.000,0.000
"080508","Cusco, Canas, distrito: Tupac Amaru",0.000,0.000
"080602","Cusco, Canchis, distrito: Checacupe",0.000,0.000
"081201","Cusco, Quispicanchi, distrito: Urcos",0.000,0.000
"081202","Cusco, Quispicanchi, distrito: Andahuaylillas",0.000,0.000
"080102","Cusco, Cusco, distrito: Ccorca",0.000,0.000
"080106","Cusco, Cusco, distrito: Santiago",0.000,0.000
"080201","Cusco, Acomayo, distrito: Acomayo",0.000,0.000
"080202","Cusco, Acomayo, distrito: Acopia",0.000,0.000
"080204","Cusco, Acomayo, distrito: Mosoc Llacta",0.000,0.000
"080205","Cusco, Acomayo, distrito: Pomacanchi",0.000,0.000
"080206","Cusco, Acomayo, distrito: Rondocan",0.000,0.000
"080207","Cusco, Acomayo, distrito: Sangarara",0.000,0.000
"080203","Cusco, Acomayo, distrito: Acos",0.000,0.000
