IDDIST,AREA_KM2,Distrito,Afectado,drought_phys_exp
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas",,0.000
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay","3769",0.377
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre","2006",0.201
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","3048",0.305
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana","592",0.059
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca","4489",0.449
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba","1218",0.122
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano","4540",0.454
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse","7938",0.794
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba","9494",0.949
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba","1528",0.153
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca","4713",0.471
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino","4327",0.433
"030713","114.248","Apurímac, Grau, distrito: Virundo","2298",0.230
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca","14364",1.436
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca","3606",0.361
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa","2356",0.236
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca","3086",0.309
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira","4977",0.498
"030705","62.668","Apurímac, Grau, distrito: Mamara","1537",0.154
"030711","50.970","Apurímac, Grau, distrito: Turpay","2076",0.208
"030709","25.354","Apurímac, Grau, distrito: San Antonio","1322",0.132
"030707","146.412","Apurímac, Grau, distrito: Pataypampa","1010",0.101
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca","1933",0.193
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas","719",0.072
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya","1417",0.142
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa","3340",0.334
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho","4970",0.497
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri","2832",0.283
"030302","66.604","Apurímac, Antabamba, distrito: El Oro","1746",0.175
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla","6934",0.693
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua","4190",0.419
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya","1852",0.185
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba","1355",0.136
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas","2006",0.201
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha","1483",0.148
"030505","221.923","Apurímac, Cotabambas, distrito: Mara","1575",0.158
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca","1220",0.122
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo","668",0.067
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura","4264",0.426
"030708","240.419","Apurímac, Grau, distrito: Progreso","2370",0.237
"030714","136.403","Apurímac, Grau, distrito: Curasco","1738",0.174
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi","1896",0.190
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya","2546",0.255
"030704","124.134","Apurímac, Grau, distrito: Huayllati","1278",0.128
"030102","176.850","Apurímac, Abancay, distrito: Chacoche","2724",0.272
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua","2471",0.247
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara","2267",0.227
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba","16094",1.609
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui","2050",0.205
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña","3694",0.369
"030106","525.594","Apurímac, Abancay, distrito: Lambrama","2380",0.238
"030703","349.620","Apurímac, Grau, distrito: Gamarra","2350",0.235
"030103","634.251","Apurímac, Abancay, distrito: Circa","1880",0.188
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo","3028",0.303
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray","1561",0.156
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi","5935",0.594
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas","11458",1.146
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca","4072",0.407
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara","5456",0.546
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo","9334",0.933
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama","2031",0.203
"030201","197.259","Apurímac, Andahuaylas, distrito: Andahuaylas","8471",0.847
"030209","170.665","Apurímac, Andahuaylas, distrito: Pacucha","8337",0.834
"030215","156.092","Apurímac, Andahuaylas, distrito: Santa María de Chicmo","3740",0.374
"030603","108.193","Apurímac, Chincheros, distrito: Cocharcas","4094",0.409
"030109","54.569","Apurímac, Abancay, distrito: Tamburco","709",0.071
"030101","286.551","Apurímac, Abancay, distrito: Abancay","15747",1.575
"080702","267.803","Cusco, Chumbivilcas, distrito: Capacmarca",,0.000
"080703","674.067","Cusco, Chumbivilcas, distrito: Chamaca","0",0.000
"081003","325.522","Cusco, Paruro, distrito: Ccapi",,0.000
"081005","361.035","Cusco, Paruro, distrito: Huanoquite","1000",0.100
"081006","427.279","Cusco, Paruro, distrito: Omacha","500",0.050
"080704","452.194","Cusco, Chumbivilcas, distrito: Colquemarca","0",0.000
"080705","746.638","Cusco, Chumbivilcas, distrito: Livitaca",,0.000
"080706","314.992","Cusco, Chumbivilcas, distrito: Llusco",,0.000
"080707","226.042","Cusco, Chumbivilcas, distrito: Quiñota",,0.000
"080503","393.761","Cusco, Canas, distrito: Kunturkanki","0",0.000
"080504","171.122","Cusco, Canas, distrito: Langui","0",0.000
"080505","425.824","Cusco, Canas, distrito: Layo","0",0.000
"080508","115.173","Cusco, Canas, distrito: Tupac Amaru",,0.000
"080602","936.927","Cusco, Canchis, distrito: Checacupe","185",0.019
"081201","140.594","Cusco, Quispicanchi, distrito: Urcos",,0.000
"081202","85.669","Cusco, Quispicanchi, distrito: Andahuaylillas",,0.000
"080102","161.581","Cusco, Cusco, distrito: Ccorca",,0.000
"080106","59.031","Cusco, Cusco, distrito: Santiago",,0.000
"080201","141.300","Cusco, Acomayo, distrito: Acomayo","1176",0.118
"080202","71.393","Cusco, Acomayo, distrito: Acopia",,0.000
"080204","43.871","Cusco, Acomayo, distrito: Mosoc Llacta",,0.000
"080205","267.277","Cusco, Acomayo, distrito: Pomacanchi",,0.000
"080206","183.004","Cusco, Acomayo, distrito: Rondocan",,0.000
"080207","86.022","Cusco, Acomayo, distrito: Sangarara",,0.000
"080203","137.678","Cusco, Acomayo, distrito: Acos",,0.000
"080701","1904.779","Cusco, Chumbivilcas, distrito: Santo Tomas","3175",0.318
"050609","1110.659","Ayacucho, Lucanas, distrito: Leoncio Prado","0",0.000
"050803","100.862","Ayacucho, Páucar del Sara Sara, distrito: Corculla","540",0.054
"050810","85.031","Ayacucho, Páucar del Sara Sara, distrito: Sara Sara","430",0.043
"050801","251.426","Ayacucho, Páucar del Sara Sara, distrito: Pausa","750",0.075
"050809","28.415","Ayacucho, Páucar del Sara Sara, distrito: San José de Ushua","400",0.040
"050807","56.662","Ayacucho, Páucar del Sara Sara, distrito: Pararca","0",0.000
"050706","643.279","Ayacucho, Parinacochas, distrito: Puyusca","3895",0.390
"050806","793.713","Ayacucho, Páucar del Sara Sara, distrito: Oyolo","0",0.000
"050705","1563.276","Ayacucho, Parinacochas, distrito: Pullo","3900",0.390
"050804","281.007","Ayacucho, Páucar del Sara Sara, distrito: Lampa","600",0.060
"050802","248.108","Ayacucho, Páucar del Sara Sara, distrito: Colta","0",0.000
"050702","372.212","Ayacucho, Parinacochas, distrito: Chumpi","4175",0.418
"050808","117.501","Ayacucho, Páucar del Sara Sara, distrito: San Javier de Alpabamba","500",0.050
"050805","120.358","Ayacucho, Páucar del Sara Sara, distrito: Marcabamba","0",0.000
"050619","1504.093","Ayacucho, Lucanas, distrito: Sancos","0",0.000
"050701","1388.399","Ayacucho, Parinacochas, distrito: Coracora","3635",0.364
"050707","102.981","Ayacucho, Parinacochas, distrito: San Francisco de Ravacayco","2255",0.226
"050605","366.939","Ayacucho, Lucanas, distrito: Chaviña","0",0.000
"050303","639.465","Ayacucho, Huanca Sancos, distrito: Sacsamarca","4375",0.438
"050909","141.830","Ayacucho, Sucre, distrito: San Salvador de Quije","925",0.093
"051005","265.212","Ayacucho, Víctor Fajardo, distrito: Canaria","0",0.000
"050704","147.042","Ayacucho, Parinacochas, distrito: Pacapausa","2240",0.224
"050621","1034.046","Ayacucho, Lucanas, distrito: Santa Lucia","0",0.000
"050708","575.666","Ayacucho, Parinacochas, distrito: Upahuacho","1730",0.173
"050614","575.655","Ayacucho, Lucanas, distrito: Saisa","0",0.000
"050617","727.490","Ayacucho, Lucanas, distrito: San Pedro","620",0.062
"050615","407.454","Ayacucho, Lucanas, distrito: San Cristobal","0",0.000
"050703","1081.616","Ayacucho, Parinacochas, distrito: Coronel Castañeda","1120",0.112
"050601","863.694","Ayacucho, Lucanas, distrito: Puquio","1500",0.150
"050616","46.855","Ayacucho, Lucanas, distrito: San Juan","0",0.000
"050611","1211.652","Ayacucho, Lucanas, distrito: Lucanas","0",0.000
"050613","716.572","Ayacucho, Lucanas, distrito: Otoca","0",0.000
"050612","859.086","Ayacucho, Lucanas, distrito: Ocaña","510",0.051
"050604","464.117","Ayacucho, Lucanas, distrito: Carmen Salcedo","1200",0.120
"050606","1156.175","Ayacucho, Lucanas, distrito: Chipao","0",0.000
"050603","405.264","Ayacucho, Lucanas, distrito: Cabana","0",0.000
"050608","779.968","Ayacucho, Lucanas, distrito: Laramate","0",0.000
"050618","520.466","Ayacucho, Lucanas, distrito: San Pedro de Palco","0",0.000
"050610","493.547","Ayacucho, Lucanas, distrito: Llauta","0",0.000
"050620","45.503","Ayacucho, Lucanas, distrito: Santa Ana de HuaycAHUACHO","0",0.000
"050908","314.273","Ayacucho, Sucre, distrito: San Pedro de Larcay","0",0.000
"050905","144.061","Ayacucho, Sucre, distrito: Huacaña","0",0.000
"050602","872.404","Ayacucho, Lucanas, distrito: Aucara","1375",0.138
"050911","351.818","Ayacucho, Sucre, distrito: Soras","85",0.009
"050607","312.611","Ayacucho, Lucanas, distrito: Huac-Huas","590",0.059
"050906","288.942","Ayacucho, Sucre, distrito: Morcolla","0",0.000
"050910","61.546","Ayacucho, Sucre, distrito: Santiago de Paucaray","175",0.018
"051004","71.362","Ayacucho, Víctor Fajardo, distrito: Asquipata","50",0.005
"051003","175.820","Ayacucho, Víctor Fajardo, distrito: Apongo","0",0.000
"050901","282.124","Ayacucho, Sucre, distrito: Querobamba","765",0.077
"050907","79.324","Ayacucho, Sucre, distrito: Paico","0",0.000
"050904","29.764","Ayacucho, Sucre, distrito: Chilcayoc","0",0.000
"050301","1357.052","Ayacucho, Huanca Sancos, distrito: Sancos","7375",0.738
"051106","88.109","Ayacucho, Vilcas Huamán, distrito: Independencia","0",0.000
"050304","645.902","Ayacucho, Huanca Sancos, distrito: Santiago de Lucanamarca","3468",0.347
"050903","54.891","Ayacucho, Sucre, distrito: Chalcos","0",0.000
"051010","156.701","Ayacucho, Víctor Fajardo, distrito: Hualla","0",0.000
"051006","63.507","Ayacucho, Víctor Fajardo, distrito: Cayara","0",0.000
"051102","86.469","Ayacucho, Vilcas Huamán, distrito: Accomarca","0",0.000
"050902","36.352","Ayacucho, Sucre, distrito: Belén","700",0.070
"050302","196.664","Ayacucho, Huanca Sancos, distrito: Carapo","4899",0.490
"051105","162.982","Ayacucho, Vilcas Huamán, distrito: Huambalpa","1000",0.100
"051008","72.444","Ayacucho, Víctor Fajardo, distrito: Huamanquiquia","0",0.000
"051001","239.371","Ayacucho, Víctor Fajardo, distrito: Huancapi","1000",0.100
"051103","54.285","Ayacucho, Vilcas Huamán, distrito: Carhuanca","40",0.004
"051009","162.205","Ayacucho, Víctor Fajardo, distrito: Huancaraylla","0",0.000
"051007","63.872","Ayacucho, Víctor Fajardo, distrito: Colca","0",0.000
"051107","89.230","Ayacucho, Vilcas Huamán, distrito: Saurama","0",0.000
"051101","220.297","Ayacucho, Vilcas Huamán, distrito: Vilcas Huamán","500",0.050
"051002","116.022","Ayacucho, Víctor Fajardo, distrito: Alcamenca","0",0.000
"051011","378.926","Ayacucho, Víctor Fajardo, distrito: Sarhua","0",0.000
"051012","500.008","Ayacucho, Víctor Fajardo, distrito: Vilcanchos","665",0.067
"081007","142.059","Cusco, Paruro, distrito: Paccaritambo","120",0.012
"081008","78.419","Cusco, Paruro, distrito: Pillpinto",,0.000
"081009","100.838","Cusco, Paruro, distrito: Yaurisque","900",0.090
"081001","152.677","Cusco, Paruro, distrito: Paruro","350",0.035
"081002","238.717","Cusco, Paruro, distrito: Accha","500",0.050
"081004","139.818","Cusco, Paruro, distrito: Colcha","800",0.080
"080708","759.872","Cusco, Chumbivilcas, distrito: Velille",,0.000
"080802","515.217","Cusco, Espinar, distrito: Condoroma","0",0.000
"080501","291.112","Cusco, Canas, distrito: Yanaoca","0",0.000
"080502","504.069","Cusco, Canas, distrito: Checca",,0.000
"080506","31.173","Cusco, Canas, distrito: Pampamarca",,0.000
"080507","148.860","Cusco, Canas, distrito: Quehue","3336",0.334
"080601","646.407","Cusco, Canchis, distrito: Sicuani","632",0.063
"080603","173.418","Cusco, Canchis, distrito: Combapata","1720",0.172
"080604","438.745","Cusco, Canchis, distrito: Marangani","268",0.027
"080605","1091.066","Cusco, Canchis, distrito: Pitumarca","1250",0.125
"081206","242.518","Cusco, Quispicanchi, distrito: Cusipata",,0.000
"081207","108.445","Cusco, Quispicanchi, distrito: Huaro",,0.000
"081208","118.033","Cusco, Quispicanchi, distrito: Lucre",,0.000
"081212","364.184","Cusco, Quispicanchi, distrito: Quiquijana","0",0.000
"080606","522.959","Cusco, Canchis, distrito: San Pablo","454",0.045
"080607","55.980","Cusco, Canchis, distrito: San Pedro","600",0.060
"080608","82.595","Cusco, Canchis, distrito: Tinta","0",0.000
"080806","273.929","Cusco, Espinar, distrito: Pichigua","0",0.000
"080807","627.786","Cusco, Espinar, distrito: Suyckutambo","0",0.000
"080808","359.526","Cusco, Espinar, distrito: Alto Pichigua",,0.000
"080801","738.312","Cusco, Espinar, distrito: Espinar","0",0.000
"080803","1543.040","Cusco, Espinar, distrito: Coporaque","0",0.000
"080804","359.239","Cusco, Espinar, distrito: Ocoruro","0",0.000
"080805","817.204","Cusco, Espinar, distrito: Pallpata","0",0.000
"090612","168.752","Huancavelica, Huaytará, distrito: San Isidro","2228",0.223
"090614","175.493","Huancavelica, Huaytará, distrito: Santiago de Quirahuara","1864",0.186
"090606","168.257","Huancavelica, Huaytará, distrito: Ocoyo","1507",0.151
"090603","102.978","Huancavelica, Huaytará, distrito: Cordova","4755",0.476
"090608","685.695","Huancavelica, Huaytará, distrito: Querco","2443",0.244
"090605","193.322","Huancavelica, Huaytará, distrito: Laramarca","2228",0.223
"090613","1144.183","Huancavelica, Huaytará, distrito: Santiago de Chocorvos","3359",0.336
"090611","78.513","Huancavelica, Huaytará, distrito: San Francisco de Sangayaico","1862",0.186
"090615","255.829","Huancavelica, Huaytará, distrito: Santo Domingo de Capillas","2162",0.216
"090602","179.849","Huancavelica, Huaytará, distrito: Ayavi","1903",0.190
"090604","37.745","Huancavelica, Huaytará, distrito: Huayacundo Arma","902",0.090
"110301","1144.287","Ica, Nasca, distrito: Nasca","4045",0.405
"110302","955.421","Ica, Nasca, distrito: Changuillo","445",0.045
"110303","611.811","Ica, Nasca, distrito: El Ingenio","0",0.000
"110304","1945.394","Ica, Nasca, distrito: Marcona",,0.000
"110305","534.520","Ica, Nasca, distrito: Vista Alegre","515",0.052
"110401","131.429","Ica, Palpa, distrito: Palpa","0",0.000
"110402","182.642","Ica, Palpa, distrito: Llipata","0",0.000
"110403","313.904","Ica, Palpa, distrito: Río Grande","0",0.000
"110405","336.107","Ica, Palpa, distrito: Tibillo","0",0.000
"110501","24.688","Ica, Pisco, distrito: Pisco",,0.000
"110404","253.903","Ica, Palpa, distrito: Santa Cruz","0",0.000
"110102","81.674","Ica, Ica, distrito: La Tinguiña",,0.000
"110103","90.731","Ica, Ica, distrito: Los Aquijes",,0.000
"110104","1400.668","Ica, Ica, distrito: Ocucaje",,0.000
"110105","41.457","Ica, Ica, distrito: Pachacutec",,0.000
"110106","17.242","Ica, Ica, distrito: Parcona",,0.000
"110107","30.697","Ica, Ica, distrito: Pueblo Nuevo",,0.000
"110108","657.827","Ica, Ica, distrito: Salas",,0.000
"110109","360.539","Ica, Ica, distrito: San José de Los Molinos","0",0.000
"110110","32.527","Ica, Ica, distrito: San Juan Bautista",,0.000
"110111","2769.905","Ica, Ica, distrito: Santiago",,0.000
"110112","186.127","Ica, Ica, distrito: Subtanjalla",,0.000
"110113","6.329","Ica, Ica, distrito: Tate",,0.000
"110114","1262.411","Ica, Ica, distrito: Yauca del Rosario","0",0.000
"110101","886.998","Ica, Ica, distrito: Ica",,0.000
"110503","910.182","Ica, Pisco, distrito: Humay","0",0.000
"110504","268.727","Ica, Pisco, distrito: Independencia","0",0.000
"110505","1425.806","Ica, Pisco, distrito: Paracas",,0.000
"110506","232.513","Ica, Pisco, distrito: San Andrés",,0.000
"110507","136.903","Ica, Pisco, distrito: San Clemente","0",0.000
"110508","55.662","Ica, Pisco, distrito: Tupac Amaru Inca",,0.000
"230101","1908.805","Tacna, Tacna, distrito: Tacna","0",0.000
"230103","110.006","Tacna, Tacna, distrito: Calana","0",0.000
"230301","846.018","Tacna, Jorge Basadre, distrito: Locumba","70",0.007
"230302","1057.879","Tacna, Jorge Basadre, distrito: Ilabaya","120",0.012
"230303","825.227","Tacna, Jorge Basadre, distrito: Ite",,0.000
"180101","3944.307","Moquegua, Mariscal Nieto, distrito: Moquegua",,0.000
"180102","2263.860","Moquegua, Mariscal Nieto, distrito: Carumas",,0.000
"180103","68.855","Moquegua, Mariscal Nieto, distrito: Cuchumbaya",,0.000
"180104","64.595","Moquegua, Mariscal Nieto, distrito: Samegua",,0.000
"180105","539.511","Moquegua, Mariscal Nieto, distrito: San Cristóbal",,0.000
"180106","1768.950","Moquegua, Mariscal Nieto, distrito: Torata","0",0.000
"180201","255.338","Moquegua, General Sánchez Cerro, distrito: Omate","0",0.000
"180202","858.350","Moquegua, General Sánchez Cerro, distrito: Chojata","0",0.000
"180203","244.600","Moquegua, General Sánchez Cerro, distrito: Coalaque",,0.000
"180204","998.919","Moquegua, General Sánchez Cerro, distrito: Ichuña","0",0.000
"180205","778.956","Moquegua, General Sánchez Cerro, distrito: La Capilla",,0.000
"180206","255.278","Moquegua, General Sánchez Cerro, distrito: Lloque","0",0.000
"180207","562.349","Moquegua, General Sánchez Cerro, distrito: Matalaque","0",0.000
"180208","593.815","Moquegua, General Sánchez Cerro, distrito: Puquina","0",0.000
"180209","194.602","Moquegua, General Sánchez Cerro, distrito: Quinistaquillas",,0.000
"180210","880.040","Moquegua, General Sánchez Cerro, distrito: Ubinas","0",0.000
"180211","110.737","Moquegua, General Sánchez Cerro, distrito: Yunga","0",0.000
"180301","292.982","Moquegua, Ilo, distrito: Ilo",,0.000
"180302","734.095","Moquegua, Ilo, distrito: El Algarrobal",,0.000
"180303","332.140","Moquegua, Ilo, distrito: Pacocha",,0.000
"230105","1434.356","Tacna, Tacna, distrito: Inclan","50",0.005
"230106","611.321","Tacna, Tacna, distrito: Pachia","852",0.085
"230107","1452.974","Tacna, Tacna, distrito: Palca","120",0.012
"230108","268.735","Tacna, Tacna, distrito: Pocollay","0",0.000
"230109","1134.701","Tacna, Tacna, distrito: Sama","0",0.000
"230110","187.314","Tacna, Tacna, distrito: Coronel Gregorio Albarracin Lanchipa",,0.000
"230201","1381.432","Tacna, Candarave, distrito: Candarave","2873",0.287
"230202","176.381","Tacna, Candarave, distrito: Cairani","1095",0.110
"230203","493.200","Tacna, Candarave, distrito: Camilaca","2180",0.218
"230204","112.048","Tacna, Candarave, distrito: Curibaya","0",0.000
"230205","90.856","Tacna, Candarave, distrito: Huanuara","2583",0.258
"230206","55.222","Tacna, Candarave, distrito: Quilahuani","0",0.000
"230401","880.156","Tacna, Tarata, distrito: Tarata","2218",0.222
"230402","378.084","Tacna, Tarata, distrito: Héroes Albarracín","0",0.000
"230403","295.106","Tacna, Tarata, distrito: Estique","152",0.015
"230404","147.555","Tacna, Tarata, distrito: Estique-Pampa","0",0.000
"230405","233.009","Tacna, Tarata, distrito: Sitajara","0",0.000
"230406","359.145","Tacna, Tarata, distrito: Susapaya","215",0.022
"230407","106.724","Tacna, Tarata, distrito: Tarucachi","65",0.007
"230408","355.419","Tacna, Tarata, distrito: Ticaco","75",0.008
"230102","374.037","Tacna, Tacna, distrito: Alto de la Alianza",,0.000
"230104","178.467","Tacna, Tacna, distrito: Ciudad Nueva",,0.000
"040514","1540.259","Arequipa, Caylloma, distrito: San Antonio de Chuca","892",0.089
"040701","932.185","Arequipa, Islay, distrito: Mollendo",,0.000
"040702","1549.841","Arequipa, Islay, distrito: Cocachacra",,0.000
"040502","365.349","Arequipa, Caylloma, distrito: Achoma","0",0.000
"040105","86.112","Arequipa, Arequipa, distrito: Characato",,0.000
"040106","230.253","Arequipa, Arequipa, distrito: Chiguata",,0.000
"040108","695.538","Arequipa, Arequipa, distrito: La Joya",,0.000
"210502","1041.286","Puno, El Collao, distrito: Capazo","590",0.059
"210405","956.290","Puno, Chucuito, distrito: Pisacoma",,0.000
"210404","491.995","Puno, Chucuito, distrito: Kelluyo",,0.000
"210504","2694.171","Puno, El Collao, distrito: Santa Rosa",,0.000
"210403","627.178","Puno, Chucuito, distrito: Huacullani",,0.000
"210402","174.560","Puno, Chucuito, distrito: Desaguadero",,0.000
"210505","844.414","Puno, El Collao, distrito: Conduriri","2407",0.241
"210407","522.859","Puno, Chucuito, distrito: Zepita",,0.000
"211303","59.262","Puno, Yunguyo, distrito: Copani","0",0.000
"211304","23.711","Puno, Yunguyo, distrito: Cuturapi","0",0.000
"210406","400.941","Puno, Chucuito, distrito: Pomata",,0.000
"211301","174.721","Puno, Yunguyo, distrito: Yunguyo","0",0.000
"211302","120.261","Puno, Yunguyo, distrito: Anapia","0",0.000
"211307","8.013","Puno, Yunguyo, distrito: Unicachi","0",0.000
"210401","772.292","Puno, Chucuito, distrito: Juli",,0.000
"211305","27.128","Puno, Yunguyo, distrito: Ollaraya","0",0.000
"211306","4.046","Puno, Yunguyo, distrito: Tinicachi","0",0.000
"210111","1637.527","Puno, Puno, distrito: Pichacani",,0.000
"210503","152.891","Puno, El Collao, distrito: Pilcuyo","3600",0.360
"210113","336.867","Puno, Puno, distrito: San Antonio",,0.000
"210501","890.167","Puno, El Collao, distrito: Ilave","54590",5.459
"210102","1917.238","Puno, Puno, distrito: Acora",,0.000
"210112","244.472","Puno, Puno, distrito: Plateria",,0.000
"210106","115.261","Puno, Puno, distrito: Chucuito",,0.000
"210703","137.913","Puno, Lampa, distrito: Calapuja","0",0.000
"210701","660.655","Puno, Lampa, distrito: Lampa","0",0.000
"210202","126.409","Puno, Azángaro, distrito: Achaya",,0.000
"210903","403.083","Puno, Moho  , distrito: Huayrapata",,0.000
"210607","196.930","Puno, Huancané, distrito: Taraco",,0.000
"210210","203.506","Puno, Azángaro, distrito: Saman",,0.000
"210205","117.808","Puno, Azángaro, distrito: Caminaca","0",0.000
"210808","803.746","Puno, Melgar, distrito: Santa Rosa",,0.000
"210101","460.070","Puno, Puno, distrito: Puno",,0.000
"210114","488.848","Puno, Puno, distrito: Tiquillaca",,0.000
"210109","410.022","Puno, Puno, distrito: Mañazo",,0.000
"210110","173.667","Puno, Puno, distrito: Paucarcolla",,0.000
"210115","194.606","Puno, Puno, distrito: Vilque",,0.000
"210104","130.521","Puno, Puno, distrito: Atuncolla",,0.000
"210709","1588.494","Puno, Lampa, distrito: Santa Lucia","0",0.000
"210103","13.843","Puno, Puno, distrito: Amantani",,0.000
"211102","192.875","Puno, San Román, distrito: Cabana",,0.000
"211103","1268.431","Puno, San Román, distrito: Cabanillas",,0.000
"210108","128.617","Puno, Puno, distrito: Huata",,0.000
"211104","277.383","Puno, San Román, distrito: Caracoto",,0.000
"210107","99.567","Puno, Puno, distrito: Coata",,0.000
"210105","103.819","Puno, Puno, distrito: Capachica",,0.000
"210904","51.914","Puno, Moho  , distrito: Tilali",,0.000
"210702","384.752","Puno, Lampa, distrito: Cabanilla","0",0.000
"211101","394.330","Puno, San Román, distrito: Juliaca",,0.000
"210902","67.365","Puno, Moho  , distrito: Conima",,0.000
"210707","747.317","Puno, Lampa, distrito: Paratia","0",0.000
"210605","197.575","Puno, Huancané, distrito: Pusi",,0.000
"210901","504.604","Puno, Moho  , distrito: Moho",,0.000
"210606","305.195","Puno, Huancané, distrito: Rosaspata",,0.000
"210601","387.158","Puno, Huancané, distrito: Huancané",,0.000
"210704","133.191","Puno, Lampa, distrito: Nicasio","0",0.000
"210706","494.820","Puno, Lampa, distrito: Palca","0",0.000
"210608","508.126","Puno, Huancané, distrito: Vilque Chico",,0.000
"210710","161.059","Puno, Lampa, distrito: Vilavila","0",0.000
"210203","335.983","Puno, Azángaro, distrito: Arapa","0",0.000
"210206","151.931","Puno, Azángaro, distrito: Chupa",,0.000
"210214","318.665","Puno, Azángaro, distrito: Santiago de Pupuja","0",0.000
"210708","525.280","Puno, Lampa, distrito: Pucara","0",0.000
"210705","879.781","Puno, Lampa, distrito: Ocuviri","0",0.000
"211003","142.694","Puno, San Antonio de Putina, distrito: Pedro Vilca Apaza",,0.000
"210603","106.149","Puno, Huancané, distrito: Huatasani",,0.000
"210207","66.884","Puno, Azángaro, distrito: José Domingo Choquehuanca","0",0.000
"210604","296.543","Puno, Huancané, distrito: Inchupalla",,0.000
"210213","104.555","Puno, Azángaro, distrito: San Juan de Salinas","0",0.000
"210602","879.181","Puno, Huancané, distrito: Cojata",,0.000
"210804","228.831","Puno, Melgar, distrito: Llalli",,0.000
"210215","200.582","Puno, Azángaro, distrito: Tirapata","0",0.000
"211004","523.792","Puno, San Antonio de Putina, distrito: Quilcapuncu",,0.000
"210809","331.637","Puno, Melgar, distrito: Umachiri",,0.000
"210803","216.644","Puno, Melgar, distrito: Cupi",,0.000
"211001","1035.943","Puno, San Antonio de Putina, distrito: Putina",,0.000
"210801","1016.907","Puno, Melgar, distrito: Ayaviri",,0.000
"210201","719.923","Puno, Azángaro, distrito: Azángaro","0",0.000
"210204","403.314","Puno, Azángaro, distrito: Asillo","10329",1.033
"210805","691.399","Puno, Melgar, distrito: Macari",,0.000
"210208","783.658","Puno, Azángaro, distrito: Muñani","0",0.000
"210807","397.252","Puno, Melgar, distrito: Orurillo",,0.000
"211002","964.686","Puno, San Antonio de Putina, distrito: Ananea",,0.000
"210211","515.295","Puno, Azángaro, distrito: San Anton","0",0.000
"210212","397.024","Puno, Azángaro, distrito: San José","0",0.000
"211202","511.659","Puno, Sandia, distrito: Cuyocuyo",,0.000
"210209","621.568","Puno, Azángaro, distrito: Potoni","0",0.000
"211204","471.634","Puno, Sandia, distrito: Patambuco",,0.000
