IDDIST,AREA_KM2,Distrito,education,education_density
"030220",175.236,"Apurímac, Andahuaylas, distrito: José María Arguedas","17",0.002
"030415",142.393,"Apurímac, Aymaraes, distrito: Tintay","20",0.002
"030409",103.766,"Apurímac, Aymaraes, distrito: Lucre","19",0.002
"030214",84.929,"Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","14",0.001
"030206",95.320,"Apurímac, Andahuaylas, distrito: Huayana","7",0.001
"030404",204.060,"Apurímac, Aymaraes, distrito: Chapimarca","15",0.002
"030405",91.771,"Apurímac, Aymaraes, distrito: Colcabamba","3",0.000
"030304",632.359,"Apurímac, Antabamba, distrito: Juan Espinoza Medrano","14",0.001
"030406",1735.304,"Apurímac, Aymaraes, distrito: Cotaruse","37",0.004
"030301",602.523,"Apurímac, Antabamba, distrito: Antabamba","21",0.002
"030403",230.271,"Apurímac, Aymaraes, distrito: Caraybamba","4",0.000
"030303",350.743,"Apurímac, Antabamba, distrito: Huaquirca","10",0.001
"030307",176.532,"Apurímac, Antabamba, distrito: Sabaino","7",0.001
"030713",114.248,"Apurímac, Grau, distrito: Virundo","3",0.000
"030401",339.028,"Apurímac, Aymaraes, distrito: Chalhuanca","25",0.003
"030410",87.573,"Apurímac, Aymaraes, distrito: Pocohuanca","9",0.001
"030305",1170.603,"Apurímac, Antabamba, distrito: Oropesa","16",0.002
"030417",104.366,"Apurímac, Aymaraes, distrito: Yanaca","9",0.001
"030504",484.064,"Apurímac, Cotabambas, distrito: Haquira","86",0.009
"030705",62.668,"Apurímac, Grau, distrito: Mamara","5",0.001
"030711",50.970,"Apurímac, Grau, distrito: Turpay","3",0.000
"030709",25.354,"Apurímac, Grau, distrito: San Antonio","3",0.000
"030707",146.412,"Apurímac, Grau, distrito: Pataypampa","10",0.001
"030412",365.244,"Apurímac, Aymaraes, distrito: Sañayca","11",0.001
"030306",229.231,"Apurímac, Antabamba, distrito: Pachaconas","11",0.001
"030413",44.385,"Apurímac, Aymaraes, distrito: Soraya","5",0.001
"030710",31.042,"Apurímac, Grau, distrito: Santa Rosa","8",0.001
"030506",453.501,"Apurímac, Cotabambas, distrito: Challhuahuacho","77",0.008
"030210",590.658,"Apurímac, Andahuaylas, distrito: Pampachiri","22",0.002
"030302",66.604,"Apurímac, Antabamba, distrito: El Oro","4",0.000
"030701",425.409,"Apurímac, Grau, distrito: Chuquibambilla","33",0.003
"030414",158.187,"Apurímac, Aymaraes, distrito: Tapairihua","22",0.002
"030402",83.288,"Apurímac, Aymaraes, distrito: Capaya","6",0.001
"030712",6.579,"Apurímac, Grau, distrito: Vilcabamba","5",0.001
"030706",104.777,"Apurímac, Grau, distrito: Micaela Bastidas","6",0.001
"030211",122.859,"Apurímac, Andahuaylas, distrito: Pomacocha","4",0.000
"030505",221.923,"Apurímac, Cotabambas, distrito: Mara","47",0.005
"030217",453.423,"Apurímac, Andahuaylas, distrito: Tumay Huaraca","16",0.002
"030407",72.783,"Apurímac, Aymaraes, distrito: Ihuayllo","5",0.001
"030408",100.994,"Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura","11",0.001
"030708",240.419,"Apurímac, Grau, distrito: Progreso","21",0.002
"030714",136.403,"Apurímac, Grau, distrito: Curasco","14",0.001
"030702",310.153,"Apurímac, Grau, distrito: Curpahuasi","24",0.002
"030416",168.616,"Apurímac, Aymaraes, distrito: Toraya","12",0.001
"030704",124.134,"Apurímac, Grau, distrito: Huayllati","24",0.002
"030102",176.850,"Apurímac, Abancay, distrito: Chacoche","8",0.001
"030107",373.769,"Apurímac, Abancay, distrito: Pichirhua","31",0.003
"030203",146.730,"Apurímac, Andahuaylas, distrito: Chiara","8",0.001
"030501",714.098,"Apurímac, Cotabambas, distrito: Tambobamba","87",0.009
"030503",418.982,"Apurímac, Cotabambas, distrito: Coyllurqui","58",0.006
"030411",96.210,"Apurímac, Aymaraes, distrito: San Juan de Chacña","6",0.001
"030106",525.594,"Apurímac, Abancay, distrito: Lambrama","30",0.003
"030703",349.620,"Apurímac, Grau, distrito: Gamarra","43",0.004
"030103",634.251,"Apurímac, Abancay, distrito: Circa","29",0.003
"030218",123.766,"Apurímac, Andahuaylas, distrito: Turpo","24",0.002
"030205",111.140,"Apurímac, Andahuaylas, distrito: Huancaray","34",0.003
"030212",178.561,"Apurímac, Andahuaylas, distrito: San Antonio de Cachi","24",0.002
"030502",326.959,"Apurímac, Cotabambas, distrito: Cotabambas","30",0.003
