IDDIST,AREA_KM2,Distrito,Afectado,flood_phys_exp
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas",,0.000
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay","5",0.001
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre","50",0.005
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","250",0.025
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana",,0.000
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca","5",0.001
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba",,0.000
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano",,0.000
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse","30",0.003
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba","61",0.006
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba",,0.000
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca","41",0.004
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino",,0.000
"030713","114.248","Apurímac, Grau, distrito: Virundo",,0.000
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca","5",0.001
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca",,0.000
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa","324",0.032
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca",,0.000
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira",,0.000
"030705","62.668","Apurímac, Grau, distrito: Mamara","441",0.044
"030711","50.970","Apurímac, Grau, distrito: Turpay",,0.000
"030709","25.354","Apurímac, Grau, distrito: San Antonio",,0.000
"030707","146.412","Apurímac, Grau, distrito: Pataypampa",,0.000
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca","85",0.009
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas",,0.000
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya",,0.000
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa",,0.000
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho","123",0.012
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri",,0.000
"030302","66.604","Apurímac, Antabamba, distrito: El Oro",,0.000
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla","81",0.008
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua","2",0.000
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya",,0.000
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba","9",0.001
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas",,0.000
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha","0",0.000
"030505","221.923","Apurímac, Cotabambas, distrito: Mara",,0.000
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca",,0.000
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo",,0.000
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura","0",0.000
"030708","240.419","Apurímac, Grau, distrito: Progreso","8",0.001
"030714","136.403","Apurímac, Grau, distrito: Curasco",,0.000
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi","3",0.000
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya","215",0.022
"030704","124.134","Apurímac, Grau, distrito: Huayllati",,0.000
"030102","176.850","Apurímac, Abancay, distrito: Chacoche",,0.000
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua","8",0.001
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara",,0.000
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba","421",0.042
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui",,0.000
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña","17",0.002
"030106","525.594","Apurímac, Abancay, distrito: Lambrama",,0.000
"030703","349.620","Apurímac, Grau, distrito: Gamarra","109",0.011
"030103","634.251","Apurímac, Abancay, distrito: Circa","585",0.059
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo","28",0.003
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray",,0.000
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi",,0.000
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas","9",0.001
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca","0",0.000
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara","20",0.002
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo","141",0.014
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama","4",0.000
"030201","197.259","Apurímac, Andahuaylas, distrito: Andahuaylas","7368",0.737
"030209","170.665","Apurímac, Andahuaylas, distrito: Pacucha","4",0.000
"030215","156.092","Apurímac, Andahuaylas, distrito: Santa María de Chicmo","11",0.001
"030603","108.193","Apurímac, Chincheros, distrito: Cocharcas",,0.000
"030109","54.569","Apurímac, Abancay, distrito: Tamburco","126",0.013
"030101","286.551","Apurímac, Abancay, distrito: Abancay","850",0.085
"080702","267.803","Cusco, Chumbivilcas, distrito: Capacmarca","0",0.000
"080703","674.067","Cusco, Chumbivilcas, distrito: Chamaca",,0.000
"081003","325.522","Cusco, Paruro, distrito: Ccapi","2100",0.210
"081005","361.035","Cusco, Paruro, distrito: Huanoquite","250",0.025
"081006","427.279","Cusco, Paruro, distrito: Omacha","7",0.001
"080704","452.194","Cusco, Chumbivilcas, distrito: Colquemarca",,0.000
"080705","746.638","Cusco, Chumbivilcas, distrito: Livitaca","0",0.000
"080706","314.992","Cusco, Chumbivilcas, distrito: Llusco",,0.000
"080707","226.042","Cusco, Chumbivilcas, distrito: Quiñota",,0.000
"080503","393.761","Cusco, Canas, distrito: Kunturkanki","180",0.018
