IDDIST,AREA_KM2,Distrito,cs,health_density
"030220",175.236,"Apurímac, Andahuaylas, distrito: José María Arguedas","2",0.00020
"030415",142.393,"Apurímac, Aymaraes, distrito: Tintay","4",0.00040
"030409",103.766,"Apurímac, Aymaraes, distrito: Lucre","4",0.00040
"030214",84.929,"Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","4",0.00040
"030206",95.320,"Apurímac, Andahuaylas, distrito: Huayana","2",0.00020
"030404",204.060,"Apurímac, Aymaraes, distrito: Chapimarca","4",0.00040
"030405",91.771,"Apurímac, Aymaraes, distrito: Colcabamba","0",0.00000
"030304",632.359,"Apurímac, Antabamba, distrito: Juan Espinoza Medrano","5",0.00050
"030406",1735.304,"Apurímac, Aymaraes, distrito: Cotaruse","9",0.00090
"030301",602.523,"Apurímac, Antabamba, distrito: Antabamba","3",0.00030
"030403",230.271,"Apurímac, Aymaraes, distrito: Caraybamba","1",0.00010
"030303",350.743,"Apurímac, Antabamba, distrito: Huaquirca","4",0.00040
"030307",176.532,"Apurímac, Antabamba, distrito: Sabaino","2",0.00020
"030713",114.248,"Apurímac, Grau, distrito: Virundo","1",0.00010
"030401",339.028,"Apurímac, Aymaraes, distrito: Chalhuanca","3",0.00030
"030410",87.573,"Apurímac, Aymaraes, distrito: Pocohuanca","4",0.00040
"030305",1170.603,"Apurímac, Antabamba, distrito: Oropesa","6",0.00060
"030417",104.366,"Apurímac, Aymaraes, distrito: Yanaca","2",0.00020
"030504",484.064,"Apurímac, Cotabambas, distrito: Haquira","13",0.00130
"030705",62.668,"Apurímac, Grau, distrito: Mamara","1",0.00010
"030711",50.970,"Apurímac, Grau, distrito: Turpay","1",0.00010
"030709",25.354,"Apurímac, Grau, distrito: San Antonio","1",0.00010
"030707",146.412,"Apurímac, Grau, distrito: Pataypampa","2",0.00020
"030412",365.244,"Apurímac, Aymaraes, distrito: Sañayca","4",0.00040
"030306",229.231,"Apurímac, Antabamba, distrito: Pachaconas","3",0.00030
"030413",44.385,"Apurímac, Aymaraes, distrito: Soraya","2",0.00020
"030710",31.042,"Apurímac, Grau, distrito: Santa Rosa","2",0.00020
"030506",453.501,"Apurímac, Cotabambas, distrito: Challhuahuacho","8",0.00080
"030210",590.658,"Apurímac, Andahuaylas, distrito: Pampachiri","3",0.00030
"030302",66.604,"Apurímac, Antabamba, distrito: El Oro","1",0.00010
"030701",425.409,"Apurímac, Grau, distrito: Chuquibambilla","7",0.00070
"030414",158.187,"Apurímac, Aymaraes, distrito: Tapairihua","3",0.00030
"030402",83.288,"Apurímac, Aymaraes, distrito: Capaya","2",0.00020
"030712",6.579,"Apurímac, Grau, distrito: Vilcabamba","1",0.00010
"030706",104.777,"Apurímac, Grau, distrito: Micaela Bastidas","1",0.00010
"030211",122.859,"Apurímac, Andahuaylas, distrito: Pomacocha","1",0.00010
"030505",221.923,"Apurímac, Cotabambas, distrito: Mara","7",0.00070
"030217",453.423,"Apurímac, Andahuaylas, distrito: Tumay Huaraca","3",0.00030
"030407",72.783,"Apurímac, Aymaraes, distrito: Ihuayllo","2",0.00020
"030408",100.994,"Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura","2",0.00020
"030708",240.419,"Apurímac, Grau, distrito: Progreso","4",0.00040
"030714",136.403,"Apurímac, Grau, distrito: Curasco","2",0.00020
"030702",310.153,"Apurímac, Grau, distrito: Curpahuasi","4",0.00040
"030416",168.616,"Apurímac, Aymaraes, distrito: Toraya","4",0.00040
"030704",124.134,"Apurímac, Grau, distrito: Huayllati","6",0.00060
"030102",176.850,"Apurímac, Abancay, distrito: Chacoche","3",0.00030
"030107",373.769,"Apurímac, Abancay, distrito: Pichirhua","9",0.00090
"030203",146.730,"Apurímac, Andahuaylas, distrito: Chiara","3",0.00030
"030501",714.098,"Apurímac, Cotabambas, distrito: Tambobamba","12",0.00120
"030503",418.982,"Apurímac, Cotabambas, distrito: Coyllurqui","7",0.00070
"030411",96.210,"Apurímac, Aymaraes, distrito: San Juan de Chacña","1",0.00010
"030106",525.594,"Apurímac, Abancay, distrito: Lambrama","7",0.00070
"030703",349.620,"Apurímac, Grau, distrito: Gamarra","10",0.00100
"030103",634.251,"Apurímac, Abancay, distrito: Circa","5",0.00050
"030218",123.766,"Apurímac, Andahuaylas, distrito: Turpo","6",0.00060
"030205",111.140,"Apurímac, Andahuaylas, distrito: Huancaray","4",0.00040
"030212",178.561,"Apurímac, Andahuaylas, distrito: San Antonio de Cachi","4",0.00040
"030502",326.959,"Apurímac, Cotabambas, distrito: Cotabambas","4",0.00040
"030607",146.864,"Apurímac, Chincheros, distrito: Uranmarca","3",0.00030
"030207",309.046,"Apurímac, Andahuaylas, distrito: Kishuara","7",0.00070
"030213",248.614,"Apurímac, Andahuaylas, distrito: San Jerónimo","8",0.00080
"030204",156.295,"Apurímac, Andahuaylas, distrito: Huancarama","11",0.00110
"030201",197.259,"Apurímac, Andahuaylas, distrito: Andahuaylas","10",0.00100
"030209",170.665,"Apurímac, Andahuaylas, distrito: Pacucha","7",0.00070
"030215",156.092,"Apurímac, Andahuaylas, distrito: Santa María de Chicmo","9",0.00090
"030603",108.193,"Apurímac, Chincheros, distrito: Cocharcas","3",0.00030
"030109",54.569,"Apurímac, Abancay, distrito: Tamburco","3",0.00030
"030101",286.551,"Apurímac, Abancay, distrito: Abancay","12",0.00120
"080702",267.803,"Cusco, Chumbivilcas, distrito: Capacmarca","2",0.00020
"080703",674.067,"Cusco, Chumbivilcas, distrito: Chamaca","6",0.00060
"081003",325.522,"Cusco, Paruro, distrito: Ccapi","2",0.00020
"081005",361.035,"Cusco, Paruro, distrito: Huanoquite","1",0.00010
"081006",427.279,"Cusco, Paruro, distrito: Omacha","4",0.00040
"080704",452.194,"Cusco, Chumbivilcas, distrito: Colquemarca","4",0.00040
"080705",746.638,"Cusco, Chumbivilcas, distrito: Livitaca","4",0.00040
"080706",314.992,"Cusco, Chumbivilcas, distrito: Llusco","3",0.00030
