IDDIST,AREA_KM2,Distrito,h20,vivt,piped_water
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas",43.000,1605.000,2.6791
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay",94.000,2268.000,4.1446
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre",37.000,1385.000,2.6715
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa",48.000,1218.000,3.9409
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana",19.000,581.000,3.2702
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca",321.000,1161.000,27.6486
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba",5.000,616.000,0.8117
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano",108.000,1633.000,6.6136
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse",154.000,2010.000,7.6617
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba",295.000,2375.000,12.4211
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba",34.000,649.000,5.2388
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca",122.000,947.000,12.8828
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino",79.000,970.000,8.1443
"030713","114.248","Apurímac, Grau, distrito: Virundo",22.000,454.000,4.8458
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca",165.000,2581.000,6.3929
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca",22.000,940.000,2.3404
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa",276.000,1147.000,24.0628
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca",127.000,794.000,15.9950
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira",1397.000,4570.000,30.5689
"030705","62.668","Apurímac, Grau, distrito: Mamara",73.000,579.000,12.6079
"030711","50.970","Apurímac, Grau, distrito: Turpay",53.000,469.000,11.3006
"030709","25.354","Apurímac, Grau, distrito: San Antonio",34.000,241.000,14.1079
"030707","146.412","Apurímac, Grau, distrito: Pataypampa",169.000,481.000,35.1351
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca",89.000,731.000,12.1751
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas",55.000,852.000,6.4554
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya",71.000,425.000,16.7059
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa",30.000,482.000,6.2241
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho",1762.000,5040.000,34.9603
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri",176.000,1384.000,12.7168
"030302","66.604","Apurímac, Antabamba, distrito: El Oro",47.000,439.000,10.7062
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla",314.000,2192.000,14.3248
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua",113.000,1283.000,8.8075
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya",36.000,390.000,9.2308
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba",27.000,659.000,4.0971
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas",68.000,470.000,14.4681
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha",50.000,646.000,7.7399
"030505","221.923","Apurímac, Cotabambas, distrito: Mara",452.000,2142.000,21.1018
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca",164.000,1077.000,15.2275
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo",9.000,342.000,2.6316
