IDDIST,AREA_KM2,Distrito,Población,pop_densit
"030220",175.236,"Apurímac, Andahuaylas, distrito: José María Arguedas","4081",23.2886
"030415",142.393,"Apurímac, Aymaraes, distrito: Tintay","2272",15.9558
"030409",103.766,"Apurímac, Aymaraes, distrito: Lucre","1529",14.7351
"030214",84.929,"Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","1613",18.9923
"030206",95.320,"Apurímac, Andahuaylas, distrito: Huayana","750",7.8682
"030404",204.060,"Apurímac, Aymaraes, distrito: Chapimarca","1893",9.2767
"030405",91.771,"Apurímac, Aymaraes, distrito: Colcabamba","693",7.5514
"030304",632.359,"Apurímac, Antabamba, distrito: Juan Espinoza Medrano","1711",2.7057
"030406",1735.304,"Apurímac, Aymaraes, distrito: Cotaruse","2570",1.4810
"030301",602.523,"Apurímac, Antabamba, distrito: Antabamba","2776",4.6073
"030403",230.271,"Apurímac, Aymaraes, distrito: Caraybamba","929",4.0344
"030303",350.743,"Apurímac, Antabamba, distrito: Huaquirca","1841",5.2489
"030307",176.532,"Apurímac, Antabamba, distrito: Sabaino","1108",6.2765
"030713",114.248,"Apurímac, Grau, distrito: Virundo","675",5.9082
"030401",339.028,"Apurímac, Aymaraes, distrito: Chalhuanca","4928",14.5357
"030410",87.573,"Apurímac, Aymaraes, distrito: Pocohuanca","1022",11.6703
"030305",1170.603,"Apurímac, Antabamba, distrito: Oropesa","2268",1.9375
"030417",104.366,"Apurímac, Aymaraes, distrito: Yanaca","981",9.3996
"030504",484.064,"Apurímac, Cotabambas, distrito: Haquira","9430",19.4809
"030705",62.668,"Apurímac, Grau, distrito: Mamara","858",13.6912
"030711",50.970,"Apurímac, Grau, distrito: Turpay","628",12.3210
"030709",25.354,"Apurímac, Grau, distrito: San Antonio","272",10.7281
"030707",146.412,"Apurímac, Grau, distrito: Pataypampa","798",5.4504
"030412",365.244,"Apurímac, Aymaraes, distrito: Sañayca","1107",3.0309
"030306",229.231,"Apurímac, Antabamba, distrito: Pachaconas","1054",4.5980
"030413",44.385,"Apurímac, Aymaraes, distrito: Soraya","711",16.0189
"030710",31.042,"Apurímac, Grau, distrito: Santa Rosa","560",18.0401
"030506",453.501,"Apurímac, Cotabambas, distrito: Challhuahuacho","14525",32.0286
"030210",590.658,"Apurímac, Andahuaylas, distrito: Pampachiri","2199",3.7230
"030302",66.604,"Apurímac, Antabamba, distrito: El Oro","552",8.2878
"030701",425.409,"Apurímac, Grau, distrito: Chuquibambilla","5023",11.8075
"030414",158.187,"Apurímac, Aymaraes, distrito: Tapairihua","1848",11.6824
"030402",83.288,"Apurímac, Aymaraes, distrito: Capaya","580",6.9638
