IDDIST,AREA_KM2,Distrito,techo,roof_type
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas",1066.000,66.4174
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay",813.000,35.8466
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre",510.000,36.8231
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa",501.000,41.1330
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana",253.000,43.5456
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca",697.000,60.0345
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba",255.000,41.3961
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano",644.000,39.4366
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse",815.000,40.5473
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba",990.000,41.6842
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba",355.000,54.6995
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca",489.000,51.6367
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino",421.000,43.4021
"030713","114.248","Apurímac, Grau, distrito: Virundo",242.000,53.3040
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca",1089.000,42.1929
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca",410.000,43.6170
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa",734.000,63.9930
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca",352.000,44.3325
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira",3092.000,67.6586
"030705","62.668","Apurímac, Grau, distrito: Mamara",332.000,57.3402
"030711","50.970","Apurímac, Grau, distrito: Turpay",260.000,55.4371
"030709","25.354","Apurímac, Grau, distrito: San Antonio",125.000,51.8672
"030707","146.412","Apurímac, Grau, distrito: Pataypampa",274.000,56.9647
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca",400.000,54.7196
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas",383.000,44.9531
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya",266.000,62.5882
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa",233.000,48.3402
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho",2736.000,54.2857
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri",711.000,51.3728
"030302","66.604","Apurímac, Antabamba, distrito: El Oro",269.000,61.2756
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla",1365.000,62.2719
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua",724.000,56.4302
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya",223.000,57.1795
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba",367.000,55.6904
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas",305.000,64.8936
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha",301.000,46.5944
"030505","221.923","Apurímac, Cotabambas, distrito: Mara",1782.000,83.1933
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca",648.000,60.1671
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo",189.000,55.2632
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura",298.000,53.0249
"030708","240.419","Apurímac, Grau, distrito: Progreso",864.000,69.2863
"030714","136.403","Apurímac, Grau, distrito: Curasco",388.000,63.0894
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi",703.000,71.6616
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya",507.000,50.8526
"030704","124.134","Apurímac, Grau, distrito: Huayllati",447.000,61.5702
"030102","176.850","Apurímac, Abancay, distrito: Chacoche",428.000,60.2817
