IDDIST,AREA_KM2,Distrito,without_saneamiento
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas",50.405
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay",26.940
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre",13.285
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa",32.430
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana",23.236
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca",40.913
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba",11.201
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano",22.474
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse",13.930
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba",17.600
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba",14.792
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca",24.076
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino",23.814
"030713","114.248","Apurímac, Grau, distrito: Virundo",9.912
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca",8.601
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca",15.957
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa",25.022
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca",17.380
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira",43.326
"030705","62.668","Apurímac, Grau, distrito: Mamara",25.561
"030711","50.970","Apurímac, Grau, distrito: Turpay",20.256
"030709","25.354","Apurímac, Grau, distrito: San Antonio",14.523
"030707","146.412","Apurímac, Grau, distrito: Pataypampa",35.343
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca",12.722
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas",17.136
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya",52.941
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa",18.050
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho",36.607
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri",43.642
"030302","66.604","Apurímac, Antabamba, distrito: El Oro",28.702
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla",26.369
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua",37.646
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya",24.359
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba",6.373
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas",53.404
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha",27.245
"030505","221.923","Apurímac, Cotabambas, distrito: Mara",52.848
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca",42.711
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo",23.099
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura",40.569
"030708","240.419","Apurímac, Grau, distrito: Progreso",51.804
"030714","136.403","Apurímac, Grau, distrito: Curasco",47.805
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi",46.687
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya",41.926
"030704","124.134","Apurímac, Grau, distrito: Huayllati",44.766
"030102","176.850","Apurímac, Abancay, distrito: Chacoche",23.662
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua",31.556
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara",22.506
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba",32.257
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui",23.001
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña",10.120
"030106","525.594","Apurímac, Abancay, distrito: Lambrama",34.673
"030703","349.620","Apurímac, Grau, distrito: Gamarra",40.217
"030103","634.251","Apurímac, Abancay, distrito: Circa",42.299
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo",44.071
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray",42.874
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi",51.998
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas",37.199
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca",36.732
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara",55.556
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo",34.928
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama",25.672
"030201","197.259","Apurímac, Andahuaylas, distrito: Andahuaylas",18.805
"030209","170.665","Apurímac, Andahuaylas, distrito: Pacucha",51.442
"030215","156.092","Apurímac, Andahuaylas, distrito: Santa María de Chicmo",41.206
"030603","108.193","Apurímac, Chincheros, distrito: Cocharcas",38.332
"030109","54.569","Apurímac, Abancay, distrito: Tamburco",10.799
"030101","286.551","Apurímac, Abancay, distrito: Abancay",8.621
"080702","267.803","Cusco, Chumbivilcas, distrito: Capacmarca",42.344
"080703","674.067","Cusco, Chumbivilcas, distrito: Chamaca",48.937
"081003","325.522","Cusco, Paruro, distrito: Ccapi",57.982
"081005","361.035","Cusco, Paruro, distrito: Huanoquite",36.524
"081006","427.279","Cusco, Paruro, distrito: Omacha",34.260
"080704","452.194","Cusco, Chumbivilcas, distrito: Colquemarca",50.578
"080705","746.638","Cusco, Chumbivilcas, distrito: Livitaca",59.679
"080706","314.992","Cusco, Chumbivilcas, distrito: Llusco",47.073
"080707","226.042","Cusco, Chumbivilcas, distrito: Quiñota",46.628
"080503","393.761","Cusco, Canas, distrito: Kunturkanki",38.203
"080504","171.122","Cusco, Canas, distrito: Langui",27.834
"080505","425.824","Cusco, Canas, distrito: Layo",41.687
"080508","115.173","Cusco, Canas, distrito: Tupac Amaru",42.397
"080602","936.927","Cusco, Canchis, distrito: Checacupe",28.578
"081201","140.594","Cusco, Quispicanchi, distrito: Urcos",19.199
"081202","85.669","Cusco, Quispicanchi, distrito: Andahuaylillas",29.200
"080102","161.581","Cusco, Cusco, distrito: Ccorca",21.463
"080106","59.031","Cusco, Cusco, distrito: Santiago",3.554
"080201","141.300","Cusco, Acomayo, distrito: Acomayo",15.976
"080202","71.393","Cusco, Acomayo, distrito: Acopia",24.428
"080204","43.871","Cusco, Acomayo, distrito: Mosoc Llacta",57.728
"080205","267.277","Cusco, Acomayo, distrito: Pomacanchi",19.733
"080206","183.004","Cusco, Acomayo, distrito: Rondocan",15.325
"080207","86.022","Cusco, Acomayo, distrito: Sangarara",21.496
"080203","137.678","Cusco, Acomayo, distrito: Acos",8.327
"080701","1904.779","Cusco, Chumbivilcas, distrito: Santo Tomas",39.164
"050609","1110.659","Ayacucho, Lucanas, distrito: Leoncio Prado",49.548
"050803","100.862","Ayacucho, Páucar del Sara Sara, distrito: Corculla",19.332
"050810","85.031","Ayacucho, Páucar del Sara Sara, distrito: Sara Sara",12.584
"050801","251.426","Ayacucho, Páucar del Sara Sara, distrito: Pausa",14.039
"050809","28.415","Ayacucho, Páucar del Sara Sara, distrito: San José de Ushua",38.983
"050807","56.662","Ayacucho, Páucar del Sara Sara, distrito: Pararca",30.794
"050706","643.279","Ayacucho, Parinacochas, distrito: Puyusca",35.877
"050806","793.713","Ayacucho, Páucar del Sara Sara, distrito: Oyolo",21.662
"050705","1563.276","Ayacucho, Parinacochas, distrito: Pullo",52.282
"050804","281.007","Ayacucho, Páucar del Sara Sara, distrito: Lampa",29.011
"050802","248.108","Ayacucho, Páucar del Sara Sara, distrito: Colta",17.678
"050702","372.212","Ayacucho, Parinacochas, distrito: Chumpi",23.488
"050808","117.501","Ayacucho, Páucar del Sara Sara, distrito: San Javier de Alpabamba",16.667
"050805","120.358","Ayacucho, Páucar del Sara Sara, distrito: Marcabamba",13.588
"050619","1504.093","Ayacucho, Lucanas, distrito: Sancos",49.947
"050701","1388.399","Ayacucho, Parinacochas, distrito: Coracora",16.517
"050707","102.981","Ayacucho, Parinacochas, distrito: San Francisco de Ravacayco",32.080
"050605","366.939","Ayacucho, Lucanas, distrito: Chaviña",19.767
"050303","639.465","Ayacucho, Huanca Sancos, distrito: Sacsamarca",21.581
"050909","141.830","Ayacucho, Sucre, distrito: San Salvador de Quije",28.634
"051005","265.212","Ayacucho, Víctor Fajardo, distrito: Canaria",21.023
"050704","147.042","Ayacucho, Parinacochas, distrito: Pacapausa",34.118
"050621","1034.046","Ayacucho, Lucanas, distrito: Santa Lucia",54.501
"050708","575.666","Ayacucho, Parinacochas, distrito: Upahuacho",38.285
"050614","575.655","Ayacucho, Lucanas, distrito: Saisa",30.292
"050617","727.490","Ayacucho, Lucanas, distrito: San Pedro",37.727
"050615","407.454","Ayacucho, Lucanas, distrito: San Cristobal",27.660
"050703","1081.616","Ayacucho, Parinacochas, distrito: Coronel Castañeda",29.684
"050601","863.694","Ayacucho, Lucanas, distrito: Puquio",8.738
"050616","46.855","Ayacucho, Lucanas, distrito: San Juan",47.834
"050611","1211.652","Ayacucho, Lucanas, distrito: Lucanas",31.048
"050613","716.572","Ayacucho, Lucanas, distrito: Otoca",48.547
"050612","859.086","Ayacucho, Lucanas, distrito: Ocaña",35.542
"050604","464.117","Ayacucho, Lucanas, distrito: Carmen Salcedo",6.573
"050606","1156.175","Ayacucho, Lucanas, distrito: Chipao",27.345
"050603","405.264","Ayacucho, Lucanas, distrito: Cabana",7.431
"050608","779.968","Ayacucho, Lucanas, distrito: Laramate",26.263
"050618","520.466","Ayacucho, Lucanas, distrito: San Pedro de Palco",26.889
"050610","493.547","Ayacucho, Lucanas, distrito: Llauta",35.778
"050620","45.503","Ayacucho, Lucanas, distrito: Santa Ana de HuaycAHUACHO",28.330
"050908","314.273","Ayacucho, Sucre, distrito: San Pedro de Larcay",28.000
"050905","144.061","Ayacucho, Sucre, distrito: Huacaña",17.445
"050602","872.404","Ayacucho, Lucanas, distrito: Aucara",38.512
"050911","351.818","Ayacucho, Sucre, distrito: Soras",15.487
"050607","312.611","Ayacucho, Lucanas, distrito: Huac-Huas",42.090
"050906","288.942","Ayacucho, Sucre, distrito: Morcolla",17.358
"050910","61.546","Ayacucho, Sucre, distrito: Santiago de Paucaray",9.431
"051004","71.362","Ayacucho, Víctor Fajardo, distrito: Asquipata",52.987
"051003","175.820","Ayacucho, Víctor Fajardo, distrito: Apongo",25.818
"050901","282.124","Ayacucho, Sucre, distrito: Querobamba",8.216
"050907","79.324","Ayacucho, Sucre, distrito: Paico",21.086
"050904","29.764","Ayacucho, Sucre, distrito: Chilcayoc",26.681
"050301","1357.052","Ayacucho, Huanca Sancos, distrito: Sancos",10.056
"051106","88.109","Ayacucho, Vilcas Huamán, distrito: Independencia",33.010
"050304","645.902","Ayacucho, Huanca Sancos, distrito: Santiago de Lucanamarca",26.393
"050903","54.891","Ayacucho, Sucre, distrito: Chalcos",14.599
"051010","156.701","Ayacucho, Víctor Fajardo, distrito: Hualla",15.942
"051006","63.507","Ayacucho, Víctor Fajardo, distrito: Cayara",20.705
"051102","86.469","Ayacucho, Vilcas Huamán, distrito: Accomarca",22.078
"050902","36.352","Ayacucho, Sucre, distrito: Belén",41.606
"050302","196.664","Ayacucho, Huanca Sancos, distrito: Carapo",13.026
"051105","162.982","Ayacucho, Vilcas Huamán, distrito: Huambalpa",17.433
"051008","72.444","Ayacucho, Víctor Fajardo, distrito: Huamanquiquia",31.084
"051001","239.371","Ayacucho, Víctor Fajardo, distrito: Huancapi",5.254
"051103","54.285","Ayacucho, Vilcas Huamán, distrito: Carhuanca",21.921
"051009","162.205","Ayacucho, Víctor Fajardo, distrito: Huancaraylla",18.433
"051007","63.872","Ayacucho, Víctor Fajardo, distrito: Colca",14.652
"051107","89.230","Ayacucho, Vilcas Huamán, distrito: Saurama",52.097
"051101","220.297","Ayacucho, Vilcas Huamán, distrito: Vilcas Huamán",34.044
"051002","116.022","Ayacucho, Víctor Fajardo, distrito: Alcamenca",23.585
