IDDIST,AREA_KM2,Distrito,event,affected
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas",,
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay",,
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre",snowfall,0.1065
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa",snowfall,0.2906
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana",snowfall,0.1017
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca",snowfall,0.1472
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba",snowfall,0.0500
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano",snowfall,0.2502
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse",snowfall,0.8080
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba",snowfall,3.7226
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba",snowfall,0.3258
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca",snowfall,0.4993
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino",snowfall,0.2586
"030713","114.248","Apurímac, Grau, distrito: Virundo",snowfall,0.0160
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca",snowfall,0.1716
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca",,
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa",snowfall,0.9704
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca",snowfall,0.0000
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira",snowfall,1.0354
"030705","62.668","Apurímac, Grau, distrito: Mamara",snowfall,0.2345
"030711","50.970","Apurímac, Grau, distrito: Turpay",snowfall,0.1826
"030709","25.354","Apurímac, Grau, distrito: San Antonio",snowfall,0.1248
"030707","146.412","Apurímac, Grau, distrito: Pataypampa",snowfall,0.0170
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca",snowfall,0.7861
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas",snowfall,0.0749
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya",,
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa",snowfall,0.0000
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho",snowfall,0.1617
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri",snowfall,0.9773
"030302","66.604","Apurímac, Antabamba, distrito: El Oro",snowfall,0.0000
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla",snowfall,0.1225
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua",snowfall,0.1342
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya",snowfall,0.0000
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba",,
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas",snowfall,0.1175
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha",snowfall,0.2048
"030505","221.923","Apurímac, Cotabambas, distrito: Mara",snowfall,1.1102
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca",snowfall,0.3879
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo",,
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura",snowfall,0.0000
"030708","240.419","Apurímac, Grau, distrito: Progreso",snowfall,0.4070
"030714","136.403","Apurímac, Grau, distrito: Curasco",snowfall,0.0550
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi",snowfall,0.3580
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya",,
"030704","124.134","Apurímac, Grau, distrito: Huayllati",snowfall,0.1550
"030102","176.850","Apurímac, Abancay, distrito: Chacoche",snowfall,0.0840
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua",snowfall,0.0430
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara",snowfall,0.2621
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba",snowfall,0.5193
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui",snowfall,0.5714
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña",snowfall,0.0500
"030106","525.594","Apurímac, Abancay, distrito: Lambrama",snowfall,0.1619
"030703","349.620","Apurímac, Grau, distrito: Gamarra",snowfall,0.0350
"030103","634.251","Apurímac, Abancay, distrito: Circa",snowfall,0.1382
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo",snowfall,0.3950
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray",snowfall,0.0676
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi",snowfall,0.2700
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas",snowfall,1.0261
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca",snowfall,0.2335
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara",snowfall,0.4020
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo",snowfall,0.3593
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama",snowfall,0.1615
