IDDIST,NOMBDIST,NOMBPROV,NOMBDEP,AREA_KM²,wall,Vivienda,wall_type
"250305",ALEXANDER VON HUMBOLDT,PADRE ABAD,UCAYALI,"219.04190938700","1088","1856",0.5862
"250302",IRAZOLA,PADRE ABAD,UCAYALI,"1893.75861685000","2099","3837",0.5470
"250304",NESHUYA,PADRE ABAD,UCAYALI,"637.04481858800","1544","2356",0.6553
"120606",PANGOA,SATIPO,JUNIN,"3539.76911689000","10983","18016",0.6096
"120604",MAZAMARI,SATIPO,JUNIN,"2132.62631798000","5123","9339",0.5486
"230110",CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,TACNA,"188.34144425700","2726","54792",0.0498
"230108",POCOLLAY,TACNA,TACNA,"270.73520533600","808","7121",0.1135
"230103",CALANA,TACNA,TACNA,"110.63987004400","339","2274",0.1491
"230101",TACNA,TACNA,TACNA,"1919.29805068000","2101","35338",0.0595
"230109",SAMA,TACNA,TACNA,"1139.53512180000","1111","5767",0.1926
"230104",CIUDAD NUEVA,TACNA,TACNA,"179.47463483400","958","10866",0.0882
"230303",ITE,JORGE BASADRE,TACNA,"828.36884592600","410","1203",0.3408
"180301",ILO,ILO,MOQUEGUA,"293.81927577900","3317","25438",0.1304
"230102",ALTO DE LA ALIANZA,TACNA,TACNA,"376.06125375400","1240","10158",0.1221
"230106",PACHIA,TACNA,TACNA,"615.05528999600","536","1517",0.3533
"230404",ESTIQUE-PAMPA,TARATA,TACNA,"148.42106452300","70","177",0.3955
"230403",ESTIQUE,TARATA,TACNA,"296.91209839500","89","218",0.4083
"230407",TARUCACHI,TARATA,TACNA,"107.39793638500","144","285",0.5053
"230105",INCLAN,TACNA,TACNA,"1441.59069719000","712","2471",0.2881
"230301",LOCUMBA,JORGE BASADRE,TACNA,"849.53747678800","663","1548",0.4283
"180302",EL ALGARROBAL,ILO,MOQUEGUA,"736.48673719300","828","2448",0.3382
"230107",PALCA,TACNA,TACNA,"1462.97677433000","419","917",0.4569
"230402",HEROES ALBARRACIN,TARATA,TACNA,"380.20366610200","167","322",0.5186
"230204",CURIBAYA,CANDARAVE,TACNA,"112.72843175800","95","149",0.6376
"230405",SITAJARA,TARATA,TACNA,"234.35557587900","147","327",0.4495
"230206",QUILAHUANI,CANDARAVE,TACNA,"55.43930731890","247","451",0.5477
"180303",PACOCHA,ILO,MOQUEGUA,"333.14171954900","88","2264",0.0389
"230401",TARATA,TARATA,TACNA,"886.24585005300","995","2091",0.4758
"230205",HUANUARA,CANDARAVE,TACNA,"91.33907336820","178","313",0.5687
"230408",TICACO,TARATA,TACNA,"357.67847451100","260","494",0.5263
"230302",ILABAYA,JORGE BASADRE,TACNA,"1062.95338736000","622","3114",0.1997
"180104",SAMEGUA,MARISCAL NIETO,MOQUEGUA,"64.85524929960","1260","4128",0.3052
"040706",PUNTA DE BOMBON,ISLAY,AREQUIPA,"758.37861019500","1124","3317",0.3389
"230202",CAIRANI,CANDARAVE,TACNA,"177.31443521900","362","655",0.5527
"230406",SUSAPAYA,TARATA,TACNA,"361.31410266800","243","635",0.3827
"040703",DEAN VALDIVIA,ISLAY,AREQUIPA,"134.58430685200","890","2777",0.3205
"230203",CAMILACA,CANDARAVE,TACNA,"495.69604525700","520","1226",0.4241
"040705",MEJIA,ISLAY,AREQUIPA,"102.86884871200","49","1199",0.0409
"210502",CAPAZO,EL COLLAO,PUNO,"1048.67569707000","570","891",0.6397
"230201",CANDARAVE,CANDARAVE,TACNA,"1389.09835872000","819","1664",0.4922
"040704",ISLAY,ISLAY,AREQUIPA,"364.69658165300","713","2437",0.2926
"180106",TORATA,MARISCAL NIETO,MOQUEGUA,"1776.57355158000","1021","4412",0.2314
"180101",MOQUEGUA,MARISCAL NIETO,MOQUEGUA,"3958.34428692000","8941","28227",0.3168
"180103",CUCHUMBAYA,MARISCAL NIETO,MOQUEGUA,"69.16448135350","256","878",0.2916
"210405",PISACOMA,CHUCUITO,PUNO,"963.83611967100","2680","2907",0.9219
"040702",COCACHACRA,ISLAY,AREQUIPA,"1552.84056956000","995","4452",0.2235
"040701",MOLLENDO,ISLAY,AREQUIPA,"933.53100326200","1551","10067",0.1541
"180205",LA CAPILLA,GENERAL SANCHEZ CERRO,MOQUEGUA,"782.19500214800","259","547",0.4735
"040201",CAMANA,CAMANA,AREQUIPA,"11.13782627980","535","4720",0.1133
"180209",QUINISTAQUILLAS,GENERAL SANCHEZ CERRO,MOQUEGUA,"195.39252107600","97","354",0.2740
"040202",JOSE MARIA QUIMPER,CAMANA,AREQUIPA,"16.05702003670","492","2203",0.2233
"210404",KELLUYO,CHUCUITO,PUNO,"496.20236710700","3598","4567",0.7878
"180105",SAN CRISTOBAL,MARISCAL NIETO,MOQUEGUA,"541.91903542900","721","1375",0.5244
"210402",DESAGUADERO,CHUCUITO,PUNO,"176.15005465800","2480","7448",0.3330
"040208",SAMUEL PASTOR,CAMANA,AREQUIPA,"113.12608751000","1909","8733",0.2186
"040115",QUEQUEÑA,AREQUIPA,AREQUIPA,"34.96247902110","325","4767",0.0682
"180201",OMATE,GENERAL SANCHEZ CERRO,MOQUEGUA,"256.30768480100","453","1822",0.2486
"210504",SANTA ROSA,EL COLLAO,PUNO,"2712.13357284000","1738","3011",0.5772
"040127",YARABAMBA,AREQUIPA,AREQUIPA,"486.84680813600","121","1954",0.0619
"040114",POLOBAYA,AREQUIPA,AREQUIPA,"399.12604705300","231","621",0.3720
