IDDIST,AREA_KM2,Distrito,SnConexaInternet,Hogar,without_internet_access
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas","1083","1142",94.8336
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay","778","850",91.5294
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre","510","523",97.5143
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","503","504",99.8016
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana","259","263",98.4791
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca","721","729",98.9026
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba","268","269",99.6283
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano","683","690",98.9855
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse","818","826",99.0315
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba","1040","1054",98.6717
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba","368","369",99.7290
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca","495","504",98.2143
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino","424","425",99.7647
"030713","114.248","Apurímac, Grau, distrito: Virundo","241","243",99.1770
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca","1385","1500",92.3333
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca","419","423",99.0544
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa","751","756",99.3386
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca","367","370",99.1892
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira","3203","3302",97.0018
"030705","62.668","Apurímac, Grau, distrito: Mamara","334","340",98.2353
"030711","50.970","Apurímac, Grau, distrito: Turpay","257","266",96.6165
"030709","25.354","Apurímac, Grau, distrito: San Antonio","130","130",100.0000
"030707","146.412","Apurímac, Grau, distrito: Pataypampa","296","296",100.0000
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca","384","413",92.9782
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas","390","395",98.7342
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya","265","276",96.0145
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa","234","234",100.0000
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho","3387","3572",94.8208
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri","724","730",99.1781
"030302","66.604","Apurímac, Antabamba, distrito: El Oro","281","283",99.2933
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla","1599","1617",98.8868
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua","727","732",99.3169
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya","236","238",99.1597
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba","480","488",98.3607
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas","307","309",99.3528
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha","298","305",97.7049
"030505","221.923","Apurímac, Cotabambas, distrito: Mara","1815","1829",99.2346
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca","661","661",100.0000
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo","195","195",100.0000
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura","300","302",99.3377
"030708","240.419","Apurímac, Grau, distrito: Progreso","909","921",98.6971
"030714","136.403","Apurímac, Grau, distrito: Curasco","388","390",99.4872
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi","716","718",99.7214
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya","508","521",97.5048
"030704","124.134","Apurímac, Grau, distrito: Huayllati","461","462",99.7835
"030102","176.850","Apurímac, Abancay, distrito: Chacoche","492","499",98.5972
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua","1035","1038",99.7110
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara","429","430",99.7674
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba","3171","3262",97.2103
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui","2114","2141",98.7389
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña","246","265",92.8302
"030106","525.594","Apurímac, Abancay, distrito: Lambrama","1213","1236",98.1392
"030703","349.620","Apurímac, Grau, distrito: Gamarra","980","984",99.5935
"030103","634.251","Apurímac, Abancay, distrito: Circa","814","818",99.5110
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo","1193","1195",99.8326
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray","1272","1274",99.8430
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi","1042","1051",99.1437
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas","1252","1274",98.2732
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca","837","840",99.6429
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara","1798","1821",98.7370
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo","5029","5669",88.7105
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama","1600","1634",97.9192
"030201","197.259","Apurímac, Andahuaylas, distrito: Andahuaylas","9887","12261",80.6378
"030209","170.665","Apurímac, Andahuaylas, distrito: Pacucha","2298","2369",97.0030
"030215","156.092","Apurímac, Andahuaylas, distrito: Santa María de Chicmo","2446","2473",98.9082
"030603","108.193","Apurímac, Chincheros, distrito: Cocharcas","582","585",99.4872
"030109","54.569","Apurímac, Abancay, distrito: Tamburco","2627","3304",79.5097
"030101","286.551","Apurímac, Abancay, distrito: Abancay","14882","20567",72.3586
"080702","267.803","Cusco, Chumbivilcas, distrito: Capacmarca","1262","1269",99.4484
"080703","674.067","Cusco, Chumbivilcas, distrito: Chamaca","2024","2054",98.5394
"081003","325.522","Cusco, Paruro, distrito: Ccapi","996","999",99.6997
"081005","361.035","Cusco, Paruro, distrito: Huanoquite","1470","1484",99.0566
"081006","427.279","Cusco, Paruro, distrito: Omacha","1601","1604",99.8130
"080704","452.194","Cusco, Chumbivilcas, distrito: Colquemarca","2315","2347",98.6366
"080705","746.638","Cusco, Chumbivilcas, distrito: Livitaca","3596","3620",99.3370
"080706","314.992","Cusco, Chumbivilcas, distrito: Llusco","1353","1403",96.4362
"080707","226.042","Cusco, Chumbivilcas, distrito: Quiñota","1095","1109",98.7376
"080503","393.761","Cusco, Canas, distrito: Kunturkanki","1610","1619",99.4441
"080504","171.122","Cusco, Canas, distrito: Langui","668","678",98.5251
"080505","425.824","Cusco, Canas, distrito: Layo","1692","1698",99.6466
"080508","115.173","Cusco, Canas, distrito: Tupac Amaru","799","802",99.6259
"080602","936.927","Cusco, Canchis, distrito: Checacupe","1395","1548",90.1163
"081201","140.594","Cusco, Quispicanchi, distrito: Urcos","2678","3121",85.8058
"081202","85.669","Cusco, Quispicanchi, distrito: Andahuaylillas","1540","1611",95.5928
"080102","161.581","Cusco, Cusco, distrito: Ccorca","738","739",99.8647
"080106","59.031","Cusco, Cusco, distrito: Santiago","19402","27100",71.5941
"080201","141.300","Cusco, Acomayo, distrito: Acomayo","1264","1297",97.4557
"080202","71.393","Cusco, Acomayo, distrito: Acopia","808","813",99.3850
"080204","43.871","Cusco, Acomayo, distrito: Mosoc Llacta","443","447",99.1051
"080205","267.277","Cusco, Acomayo, distrito: Pomacanchi","2119","2130",99.4836
"080206","183.004","Cusco, Acomayo, distrito: Rondocan","761","764",99.6073
"080207","86.022","Cusco, Acomayo, distrito: Sangarara","993","1005",98.8060
"080203","137.678","Cusco, Acomayo, distrito: Acos","702","719",97.6356
"080701","1904.779","Cusco, Chumbivilcas, distrito: Santo Tomas","7114","7284",97.6661
"050609","1110.659","Ayacucho, Lucanas, distrito: Leoncio Prado","473","481",98.3368
"050803","100.862","Ayacucho, Páucar del Sara Sara, distrito: Corculla","168","173",97.1098
"050810","85.031","Ayacucho, Páucar del Sara Sara, distrito: Sara Sara","208","209",99.5215
"050801","251.426","Ayacucho, Páucar del Sara Sara, distrito: Pausa","1066","1153",92.4545
