IDDIST,AREA_KM2,Distrito,SinCelMovil,without_mobilephone_access
"030220","175.236","Apurímac, Andahuaylas, distrito: José María Arguedas","407",35.639
"030415","142.393","Apurímac, Aymaraes, distrito: Tintay","226",26.588
"030409","103.766","Apurímac, Aymaraes, distrito: Lucre","179",34.226
"030214","84.929","Apurímac, Andahuaylas, distrito: San Miguel de Chaccrampa","207",41.071
"030206","95.320","Apurímac, Andahuaylas, distrito: Huayana","127",48.289
"030404","204.060","Apurímac, Aymaraes, distrito: Chapimarca","272",37.311
"030405","91.771","Apurímac, Aymaraes, distrito: Colcabamba","57",21.190
"030304","632.359","Apurímac, Antabamba, distrito: Juan Espinoza Medrano","259",37.536
"030406","1735.304","Apurímac, Aymaraes, distrito: Cotaruse","422",51.090
"030301","602.523","Apurímac, Antabamba, distrito: Antabamba","489",46.395
"030403","230.271","Apurímac, Aymaraes, distrito: Caraybamba","134",36.314
"030303","350.743","Apurímac, Antabamba, distrito: Huaquirca","209",41.468
"030307","176.532","Apurímac, Antabamba, distrito: Sabaino","345",81.176
"030713","114.248","Apurímac, Grau, distrito: Virundo","86",35.391
"030401","339.028","Apurímac, Aymaraes, distrito: Chalhuanca","187",12.467
"030410","87.573","Apurímac, Aymaraes, distrito: Pocohuanca","104",24.586
"030305","1170.603","Apurímac, Antabamba, distrito: Oropesa","423",55.952
"030417","104.366","Apurímac, Aymaraes, distrito: Yanaca","123",33.243
"030504","484.064","Apurímac, Cotabambas, distrito: Haquira","899",27.226
"030705","62.668","Apurímac, Grau, distrito: Mamara","227",66.765
"030711","50.970","Apurímac, Grau, distrito: Turpay","98",36.842
"030709","25.354","Apurímac, Grau, distrito: San Antonio","51",39.231
"030707","146.412","Apurímac, Grau, distrito: Pataypampa","271",91.554
"030412","365.244","Apurímac, Aymaraes, distrito: Sañayca","127",30.751
"030306","229.231","Apurímac, Antabamba, distrito: Pachaconas","202",51.139
"030413","44.385","Apurímac, Aymaraes, distrito: Soraya","88",31.884
"030710","31.042","Apurímac, Grau, distrito: Santa Rosa","82",35.043
"030506","453.501","Apurímac, Cotabambas, distrito: Challhuahuacho","1063",29.759
"030210","590.658","Apurímac, Andahuaylas, distrito: Pampachiri","390",53.425
"030302","66.604","Apurímac, Antabamba, distrito: El Oro","168",59.364
"030701","425.409","Apurímac, Grau, distrito: Chuquibambilla","900",55.659
"030414","158.187","Apurímac, Aymaraes, distrito: Tapairihua","419",57.240
"030402","83.288","Apurímac, Aymaraes, distrito: Capaya","138",57.983
"030712","6.579","Apurímac, Grau, distrito: Vilcabamba","281",57.582
"030706","104.777","Apurímac, Grau, distrito: Micaela Bastidas","152",49.191
"030211","122.859","Apurímac, Andahuaylas, distrito: Pomacocha","125",40.984
"030505","221.923","Apurímac, Cotabambas, distrito: Mara","901",49.262
"030217","453.423","Apurímac, Andahuaylas, distrito: Tumay Huaraca","425",64.297
"030407","72.783","Apurímac, Aymaraes, distrito: Ihuayllo","58",29.744
"030408","100.994","Apurímac, Aymaraes, distrito: Justo Apu Sahuaraura","117",38.742
"030708","240.419","Apurímac, Grau, distrito: Progreso","447",48.534
"030714","136.403","Apurímac, Grau, distrito: Curasco","180",46.154
"030702","310.153","Apurímac, Grau, distrito: Curpahuasi","358",49.861
"030416","168.616","Apurímac, Aymaraes, distrito: Toraya","125",23.992
"030704","124.134","Apurímac, Grau, distrito: Huayllati","223",48.268
"030102","176.850","Apurímac, Abancay, distrito: Chacoche","247",49.499
"030107","373.769","Apurímac, Abancay, distrito: Pichirhua","363",34.971
"030203","146.730","Apurímac, Andahuaylas, distrito: Chiara","147",34.186
"030501","714.098","Apurímac, Cotabambas, distrito: Tambobamba","1422",43.593
"030503","418.982","Apurímac, Cotabambas, distrito: Coyllurqui","982",45.866
"030411","96.210","Apurímac, Aymaraes, distrito: San Juan de Chacña","89",33.585
"030106","525.594","Apurímac, Abancay, distrito: Lambrama","518",41.909
"030703","349.620","Apurímac, Grau, distrito: Gamarra","701",71.240
"030103","634.251","Apurímac, Abancay, distrito: Circa","431",52.689
"030218","123.766","Apurímac, Andahuaylas, distrito: Turpo","460",38.494
"030205","111.140","Apurímac, Andahuaylas, distrito: Huancaray","625",49.058
"030212","178.561","Apurímac, Andahuaylas, distrito: San Antonio de Cachi","413",39.296
"030502","326.959","Apurímac, Cotabambas, distrito: Cotabambas","501",39.325
"030607","146.864","Apurímac, Chincheros, distrito: Uranmarca","280",33.333
"030207","309.046","Apurímac, Andahuaylas, distrito: Kishuara","533",29.270
"030213","248.614","Apurímac, Andahuaylas, distrito: San Jerónimo","1405",24.784
"030204","156.295","Apurímac, Andahuaylas, distrito: Huancarama","573",35.067
"030201","197.259","Apurímac, Andahuaylas, distrito: Andahuaylas","1752",14.289
"030209","170.665","Apurímac, Andahuaylas, distrito: Pacucha","913",38.539
"030215","156.092","Apurímac, Andahuaylas, distrito: Santa María de Chicmo","725",29.317
"030603","108.193","Apurímac, Chincheros, distrito: Cocharcas","333",56.923
"030109","54.569","Apurímac, Abancay, distrito: Tamburco","331",10.018
"030101","286.551","Apurímac, Abancay, distrito: Abancay","1583",7.697
"080702","267.803","Cusco, Chumbivilcas, distrito: Capacmarca","535",42.159
"080703","674.067","Cusco, Chumbivilcas, distrito: Chamaca","918",44.693
"081003","325.522","Cusco, Paruro, distrito: Ccapi","392",39.239
"081005","361.035","Cusco, Paruro, distrito: Huanoquite","707",47.642
"081006","427.279","Cusco, Paruro, distrito: Omacha","1507",93.953
"080704","452.194","Cusco, Chumbivilcas, distrito: Colquemarca","1144",48.743
"080705","746.638","Cusco, Chumbivilcas, distrito: Livitaca","2026",55.967
"080706","314.992","Cusco, Chumbivilcas, distrito: Llusco","648",46.187
"080707","226.042","Cusco, Chumbivilcas, distrito: Quiñota","603",54.373
"080503","393.761","Cusco, Canas, distrito: Kunturkanki","592",36.566
"080504","171.122","Cusco, Canas, distrito: Langui","226",33.333
"080505","425.824","Cusco, Canas, distrito: Layo","930",54.770
"080508","115.173","Cusco, Canas, distrito: Tupac Amaru","414",51.621
"080602","936.927","Cusco, Canchis, distrito: Checacupe","763",49.289
"081201","140.594","Cusco, Quispicanchi, distrito: Urcos","518",16.597
"081202","85.669","Cusco, Quispicanchi, distrito: Andahuaylillas","317",19.677
"080102","161.581","Cusco, Cusco, distrito: Ccorca","345",46.685
"080106","59.031","Cusco, Cusco, distrito: Santiago","1828",6.745
"080201","141.300","Cusco, Acomayo, distrito: Acomayo","404",31.149
"080202","71.393","Cusco, Acomayo, distrito: Acopia","376",46.248
"080204","43.871","Cusco, Acomayo, distrito: Mosoc Llacta","387",86.577
"080205","267.277","Cusco, Acomayo, distrito: Pomacanchi","822",38.592
"080206","183.004","Cusco, Acomayo, distrito: Rondocan","327",42.801
"080207","86.022","Cusco, Acomayo, distrito: Sangarara","290",28.856
"080203","137.678","Cusco, Acomayo, distrito: Acos","215",29.903
"080701","1904.779","Cusco, Chumbivilcas, distrito: Santo Tomas","2589",35.544
"050609","1110.659","Ayacucho, Lucanas, distrito: Leoncio Prado","281",58.420
"050803","100.862","Ayacucho, Páucar del Sara Sara, distrito: Corculla","30",17.341
"050810","85.031","Ayacucho, Páucar del Sara Sara, distrito: Sara Sara","96",45.933
"050801","251.426","Ayacucho, Páucar del Sara Sara, distrito: Pausa","170",14.744
"050809","28.415","Ayacucho, Páucar del Sara Sara, distrito: San José de Ushua","11",12.500
"050807","56.662","Ayacucho, Páucar del Sara Sara, distrito: Pararca","46",27.545
"050706","643.279","Ayacucho, Parinacochas, distrito: Puyusca","261",34.893
"050806","793.713","Ayacucho, Páucar del Sara Sara, distrito: Oyolo","83",24.850
"050705","1563.276","Ayacucho, Parinacochas, distrito: Pullo","301",15.751
"050804","281.007","Ayacucho, Páucar del Sara Sara, distrito: Lampa","197",28.103
"050802","248.108","Ayacucho, Páucar del Sara Sara, distrito: Colta","36",20.809
"050702","372.212","Ayacucho, Parinacochas, distrito: Chumpi","146",19.160
"050808","117.501","Ayacucho, Páucar del Sara Sara, distrito: San Javier de Alpabamba","31",24.409
"050805","120.358","Ayacucho, Páucar del Sara Sara, distrito: Marcabamba","47",19.502
"050619","1504.093","Ayacucho, Lucanas, distrito: Sancos","428",26.551
"050701","1388.399","Ayacucho, Parinacochas, distrito: Coracora","869",23.106
"050707","102.981","Ayacucho, Parinacochas, distrito: San Francisco de Ravacayco","57",28.788
"050605","366.939","Ayacucho, Lucanas, distrito: Chaviña","171",26.227
"050303","639.465","Ayacucho, Huanca Sancos, distrito: Sacsamarca","116",22.437
"050909","141.830","Ayacucho, Sucre, distrito: San Salvador de Quije","118",30.971
"051005","265.212","Ayacucho, Víctor Fajardo, distrito: Canaria","409",30.432
"050704","147.042","Ayacucho, Parinacochas, distrito: Pacapausa","131",50.775
"050621","1034.046","Ayacucho, Lucanas, distrito: Santa Lucia","150",33.632
"050708","575.666","Ayacucho, Parinacochas, distrito: Upahuacho","141",31.195
"050614","575.655","Ayacucho, Lucanas, distrito: Saisa","93",45.146
"050617","727.490","Ayacucho, Lucanas, distrito: San Pedro","373",44.886
"050615","407.454","Ayacucho, Lucanas, distrito: San Cristobal","157",31.400
"050703","1081.616","Ayacucho, Parinacochas, distrito: Coronel Castañeda","105",41.667
"050601","863.694","Ayacucho, Lucanas, distrito: Puquio","733",16.897
"050616","46.855","Ayacucho, Lucanas, distrito: San Juan","130",28.571
"050611","1211.652","Ayacucho, Lucanas, distrito: Lucanas","254",27.341
"050613","716.572","Ayacucho, Lucanas, distrito: Otoca","227",34.763
"050612","859.086","Ayacucho, Lucanas, distrito: Ocaña","376",43.670
"050604","464.117","Ayacucho, Lucanas, distrito: Carmen Salcedo","121",19.611
"050606","1156.175","Ayacucho, Lucanas, distrito: Chipao","379",36.796
"050603","405.264","Ayacucho, Lucanas, distrito: Cabana","181",24.198
"050608","779.968","Ayacucho, Lucanas, distrito: Laramate","365",62.393
"050618","520.466","Ayacucho, Lucanas, distrito: San Pedro de Palco","154",42.308
"050610","493.547","Ayacucho, Lucanas, distrito: Llauta","142",41.159
